id,name,company_name,summary,description,duration,departure_location,departure_times,price_adult,price_child,includes,highlights,keywords,duration_hours,link_booking,link_more_info,phone,image_url,image_urls,commission_rate,active,price_source_url,price_tiers,raw_text,duration_days,duration_category,tour_type,locations,tags,audience,intensity_level,video_urls,important_information,what_to_bring,whats_extra,cancellation_policy
camira_sailing_adventure,कैमिरा सेलिंग एडवेंचर,cruisewhitsundays,,"द व्हिट्संडेज़ में सबसे बड़े नौकायन कटमरैन, कैमिरा पर पूरे दिन के नौकायन साहसिक अनुभव का अनुभव करें।यह सर्व-समावेशी यात्रा विश्राम और रोमांच का एक अनूठा मिश्रण प्रदान करती है, जो हिल इनलेट और व्हिटसंडे द्वीप की प्रतिष्ठित घूमती रेत का पता लगाने के इच्छुक लोगों के लिए बिल्कुल उपयुक्त है।सीमित क्षमता के साथ, लुभावने स्थानों से गुजरते हुए आप एक विशाल और आरामदायक अनुभव का आनंद लेंगे।साहसिक चाहने वालों के लिए आदर्श, इस दौरे में बुशवॉकिंग, स्नॉर्कलिंग और हिल इनलेट तक एक निर्देशित पैदल यात्रा शामिल है, जो आश्चर्यजनक प्राकृतिक सुंदरता के बीच एक यादगार दिन सुनिश्चित करती है।",Full Day,Port of Airlie,,FROM A$249,FROM A$209,"व्हिट्संडेज़ के माध्यम से व्हाइटहेवन बीच और हिल इनलेट तक दर्शनीय वापसी नौकायन साहसिक
सुबह और दोपहर की चाय
झालरदार चट्टान पर स्नॉर्कलिंग
बारबेक्यू लंच, शीतल पेय और पानी
हिल इनलेट और लुकआउट तक निर्देशित पैदल यात्रा (ज्वारीय निर्भर)
ग्रेट बैरियर रीफ पर्यावरण प्रबंधन प्रभार (ईएमसी)","द व्हिटसंडेज़ में सबसे बड़े नौकायन कटमरैन पर सवार होकर यात्रा करें
प्रतिष्ठित हिल इनलेट और व्हिटसंडे द्वीप पर जाएँ
विशाल अनुभव के लिए सीमित क्षमता
स्नॉर्कलिंग और बुशवॉकिंग का आनंद लें
हिल इनलेट लुकआउट तक निर्देशित पैदल यात्रा
सुबह और दोपहर की चाय शामिल है
शीतल पेय और पानी के साथ बारबेक्यू लंच",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,"Adult: FROM A$249 | Senior: FROM A$217 | Child (4-14): FROM A$209 | Family (2 adults & 2 children): FROM A$799 | Adult (Environmental Management Charge): A$13.00 | Child (Environmental Management Charge, 4-14): A$7.00",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,
camira_sunset_sail,Camira Sunset Sail,cruisewhitsundays,,"जब आप पायनियर खाड़ी के ऊपर सूर्यास्त की ओर यात्रा करें तो आश्चर्यजनक कैमिरा नौकायन कैटामरन पर सवार होकर एक आरामदायक शाम का आनंद लें।सभी समावेशी पेय पदार्थों और स्वादिष्ट भोजन की पेशकश के साथ, यह सूर्यास्त नौका आराम करने और एयरली बीच के शानदार दृश्यों का आनंद लेने का एक आदर्श तरीका है।उन जोड़ों और परिवारों के लिए आदर्श है जो व्हिट्संडेज़ की सुंदरता का अनुभव करना चाहते हैं क्योंकि सूरज क्षितिज के नीचे डूब जाता है।",Evening,Port of Airlie,"Departs 6pm, Returns 8pm",A$109,A$85,"सूर्यास्त के समय एयरली बंदरगाह से समुद्र तट के किनारे पायनियर खाड़ी तक नौकायन और वापसी
सभी पेय (बीयर, वाइन, साइडर, स्पार्कलिंग वाइन, शीतल पेय और पानी)","सूर्यास्त के समय एयरली बीच का शानदार दृश्य
एक नौकायन कटमरैन पर आरामदेह क्रूज
सर्व-समावेशी पेय पदार्थ और स्वादिष्ट भोजन प्रसाद
अक्टूबर से फरवरी तक प्रत्येक शुक्रवार और शनिवार शाम को संचालित होता है",,,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,"static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,Adult: A$109 | Senior: A$95 | Child (4-14): A$85 | Family (2 adults & 2 children): A$330,,,unknown,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Whitehaven","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,
reefsuites,रीफसुइट्स अंडरवाटर आवास,cruisewhitsundays,,"ऑस्ट्रेलिया के पहले पानी के नीचे आवास में ठहरने के साथ ग्रेट बैरियर रीफ की अद्वितीय सुंदरता का अनुभव करें।यह अंतरंग साहसिक कार्य विलासिता और प्रकृति का सही मिश्रण प्रदान करता है, जो सीधे आपके कमरे से चट्टान के जीवंत समुद्री जीवन का अविस्मरणीय दृश्य प्रदान करता है।एक अनोखी छुट्टी चाहने वाले जोड़ों के लिए आदर्श, आप सितारों के नीचे उत्तम भोजन, विशेष रीफ गतिविधियों और समुद्र के चमत्कारों से घिरी एक शांत सुबह का आनंद लेंगे।उन लोगों के लिए तैयार किया गया है जो गोपनीयता और समुद्र के जादू को पसंद करते हैं, यह अनुभव उन यादों का वादा करता है जो जीवन भर बनी रहेंगी।",2 Days 1 Night,Port of Airlie,,"FROM A$2,050",,"व्हिट्संडेज़ के माध्यम से आवास तक दर्शनीय यात्रा
पानी के अंदर कमरे के दो विकल्प: किंग डबल या ट्विन सिंगल
प्रीमियम बिस्तर और कांच की दीवारों वाला संलग्न कमरा
ग्रेट बैरियर रीफ के फर्श से छत तक के दृश्य
नाश्ता, सुबह और दोपहर की चाय, दोपहर का भोजन और रात का खाना सहित सभी भोजन
बीयर और वाइन सहित सभी पेय पदार्थ (कुछ अतिरिक्त कीमत पर)
तारों के नीचे शानदार भोजन का अनुभव
चट्टान पर गतिविधियाँ","ऑस्ट्रेलिया के पहले पानी के नीचे आवास में रहें
आश्चर्यजनक पानी के नीचे के दृश्यों के साथ अंतरंग अनुभव
चट्टान पर विशेष सुबह
सर्व-समावेशी भोजन और पेय पदार्थ
हार्ट रीफ के लिए वैकल्पिक सुंदर उड़ान
पोंटून पर तारों से प्रकाशित रात्रिभोज
निजी रीफ़ गतिविधियाँ",,,https://www.cruisewhitsundays.com/experiences/reefsuites/,https://www.cruisewhitsundays.com/experiences/reefsuites/,,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,"static/tour_images/cruisewhitsundays/reefsuites/image_2.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_16.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsuites/,"Single: A$2,050 | Double: A$1,140 | Adult: A$13.00 | Child (4-14): A$7.00",,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven","adventure,family-friendly,luxury,private,small-group,sunset",family,adventurous,,,,,
reefsleep,रीफस्लीप,cruisewhitsundays,,"रीफस्लीप के साथ ग्रेट बैरियर रीफ का ऐसा अनुभव करें जैसा पहले कभी नहीं किया गया, यह एक अनोखा दो दिवसीय, एक रात का साहसिक कार्य है।व्हिटसंडे द्वीप समूह की सुंदरता और हार्डी रीफ के जीवंत समुद्री जीवन से घिरे रीफवर्ल्ड पोंटून पर डबल रीफबेड पर तारों के नीचे सोएं।यह अंतरंग अनुभव उन जोड़ों और साहसी लोगों के लिए एकदम सही है जो प्रकृति से जुड़ना चाहते हैं और अंधेरे के बाद एक विशेष चट्टान मुठभेड़ का आनंद लेना चाहते हैं।सर्व-समावेशी भोजन और पेय तथा विभिन्न प्रकार की गतिविधियों का आनंद लें, जिससे यह विश्राम और रोमांच दोनों चाहने वालों के लिए एक यादगार यात्रा बन जाएगी।",2 Days 1 Night,Port of Airlie,,FROM A$695,,"तारों के नीचे डबल रीफबेड में रात्रि आवास
सभी समावेशी भोजन: 1 नाश्ता, 2 सुबह और 2 दोपहर की चाय, 2 दोपहर का भोजन और तारों के नीचे रात का खाना
सर्व-समावेशी पेय: शीतल पेय, बीयर और वाइन (अतिरिक्त कीमत पर प्रीमियम पेय उपलब्ध)
सभी स्नोर्कल गियर के साथ रीफवर्ल्ड पोंटून पर गीली और सूखी गतिविधियों की एक श्रृंखला
ग्रेट बैरियर रीफ पर्यावरण प्रबंधन प्रभार (ईएमसी)","ग्रेट बैरियर रीफ पर तारों के नीचे सोएं
अंधेरे के बाद रीफवर्ल्ड पोंटून तक विशेष पहुंच
व्हिटसंडे द्वीप समूह के माध्यम से दर्शनीय परिभ्रमण
सर्व-समावेशी भोजन और पेय
वैकल्पिक रोमांस और अंडरवाटर डिनर पैकेज उपलब्ध हैं
निर्देशित स्नॉर्कलिंग सफारी और स्कूबा डाइविंग का अवसर
विभिन्न प्रकार की गतिविधियों के साथ चट्टान का अनुभव करें",,,https://www.cruisewhitsundays.com/experiences/reefsleep/,https://www.cruisewhitsundays.com/experiences/reefsleep/,,static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,"static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_18.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_24.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsleep/,Double Reefbed (2 people sharing): A$695 | Single Reefbed (1 person): A$960 | Adult (Day Visit): A$13.00 | Child (4-14) Day Visit: A$7.00,,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,luxury,private,relaxation,small-group,sunset",family,adventurous,,,,,
cruising_nomads,दर्शनीय व्हिटसंडे द्वीप क्रूज,cruisewhitsundays,,"आराम से बैठें, और आश्चर्यजनक व्हिट्संडे द्वीपों के माध्यम से एक आरामदायक यात्रा का आनंद लें।जब आप डेड्रीम द्वीप, हैमिल्टन द्वीप मरीना और हैमिल्टन द्वीप हवाई अड्डे से आगे बढ़ते हैं तो यह सुंदर यात्रा मनमोहक दृश्य प्रस्तुत करती है।आराम की तलाश करने वालों के लिए बिल्कुल उपयुक्त, यह क्रूज आराम करने और व्हिटसंडे की प्राकृतिक सुंदरता में डूबने के लिए एकदम सही पृष्ठभूमि प्रदान करता है।",,Port of Airlie,,FROM A$69,,"व्हिटसंडे द्वीप समूह के माध्यम से सुंदर क्रूज पर लौटें
असीमित चाय और कॉफ़ी","व्हिटसंडे द्वीप समूह के माध्यम से दर्शनीय परिभ्रमण
डेड्रीम द्वीप से गुजरें
हैमिल्टन द्वीप मरीना देखें
हैमिल्टन द्वीप हवाई अड्डा देखें
आराम करें और आश्चर्यजनक दृश्यों का आनंद लें",,,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,,static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,"static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,static/tour_images/cruisewhitsundays/cruising_nomads/image_3.jpg",,True,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,Adult: FROM A$69,,,unknown,water,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,relaxation",general,relaxed,,,,,
great_barrier_reef_full_day_adventure,ग्रेट बैरियर रीफ फुल डे एडवेंचर,cruisewhitsundays,,"ग्रेट बैरियर रीफ की एक लुभावनी यात्रा पर निकलें, जहां फ़िरोज़ा पानी और जीवंत समुद्री जीवन इंतजार कर रहे हैं।पूरे दिन का यह साहसिक कार्य प्रकृति प्रेमियों और रोमांच चाहने वालों के लिए बिल्कुल उपयुक्त है, जो दुनिया के सबसे आश्चर्यजनक प्राकृतिक आश्चर्यों में से एक का पता लगाने का एक अनूठा अवसर प्रदान करता है।स्नोर्कल करें, तैरें, या रंगीन पानी के नीचे की दुनिया में गोता लगाएँ, या एक सुंदर क्रूज के आराम से दृश्यों का आनंद लें।अविस्मरणीय अनुभव की तलाश कर रहे परिवारों, जोड़ों और एकल यात्रियों के लिए आदर्श।",Full Day,Port of Airlie,,FROM A$319,,"व्हिटसंडे द्वीप समूह से होते हुए आउटर रीफ तक दर्शनीय वापसी क्रूज
हार्डी रीफ पर 4 घंटे
वेटसूट और स्टिंगर सूट सहित सभी स्नॉर्कलिंग गियर उपलब्ध कराए गए
सुबह की चाय, दोपहर का भोजन और दोपहर की चाय","विश्व धरोहर-सूचीबद्ध आश्चर्य, ग्रेट बैरियर रीफ का अन्वेषण करें
जीवंत मूंगा और समुद्री जीवन के बीच स्नोर्कल, तैरना या गोता लगाना
व्हिटसंडे द्वीप समूह के माध्यम से दर्शनीय परिभ्रमण
रीफ़वर्ल्ड पोंटून पर स्वादिष्ट बुफ़े लंच का आनंद लें
निर्देशित स्नॉर्कलिंग सफारी और स्कूबा डाइविंग जैसी वैकल्पिक गतिविधियाँ",,8.0,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg,"static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_10.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_11.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,"Adult (Standard): A$319 | Adult (High Season): A$329 | Senior (Standard): A$289 | Senior (High Season): A$299 | Child (4-14, Standard): A$155 | Child (4-14, High Season): A$165 | Family (2 adults & 2 children, Standard): A$859 | Family (2 adults & 2 children, High Season): A$899 | Introductory Scuba Dive (Standard): A$169 | Introductory Scuba Dive (High Season): A$676 | Second Intro Dive (Standard): A$79 | Second Intro Dive (High Season): A$316 | Certified Scuba Dive (Standard): A$129 | Certified Scuba Dive (High Season): A$516 | Second Cert Dive (Standard): A$79 | Second Cert Dive (High Season): A$316 | Snorkel Safari (Adult, Standard): A$79 | Snorkel Safari (Adult, High Season): A$256 | Snorkel Safari (Child, Standard): A$49",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,sunset",family,adventurous,,,,,
camira_sailing_adventure,कैमिरा सेलिंग एडवेंचर,cruisewhitsundays,,"इस क्षेत्र के सबसे बड़े नौकायन कटमरैन पर शानदार ढंग से व्हिटसंडे का अनुभव लें।कैमिरा सेलिंग एडवेंचर पूरे दिन का, सर्व-समावेशी नौकायन अनुभव प्रदान करता है, जो विश्राम और रोमांच का मिश्रण चाहने वालों के लिए बिल्कुल उपयुक्त है।आश्चर्यजनक व्हिटसंडे द्वीपों के माध्यम से यात्रा करें, हिल इनलेट की प्रतिष्ठित घूमती रेत पर जाएँ, और किनारे की चट्टान पर स्नॉर्कलिंग के अवसरों का आनंद लें।यह दौरा मध्यम स्तर की फिटनेस वाले उन लोगों के लिए आदर्श है जो समुद्री हवा और लुभावने द्वीप दृश्यों को पसंद करते हैं।",Full Day,Port of Airlie,,FROM A$249,FROM A$209,"व्हिट्संडेज़ के माध्यम से व्हाइटहेवन बीच और हिल इनलेट तक दर्शनीय वापसी नौकायन साहसिक
सुबह और दोपहर की चाय
झालरदार चट्टान पर स्नॉर्कलिंग
बीबीक्यू लंच, शीतल पेय और पानी
हिल इनलेट और लुकआउट तक निर्देशित पैदल यात्रा (ज्वारीय निर्भर)
सनस्क्रीन, टोपी, धूप का चश्मा और सुरक्षात्मक कपड़े","द व्हिटसंडेज़ में सबसे बड़े नौकायन कटमरैन पर सवार होकर यात्रा करें
प्रतिष्ठित हिल इनलेट और व्हिटसंडे द्वीप पर जाएँ
स्नोर्कल फ्रिंजिंग रीफ
जहाज पर बारबेक्यू लंच का आनंद लें
हिल इनलेट लुकआउट तक निर्देशित पैदल यात्रा
समुद्री हवा और आश्चर्यजनक द्वीप दृश्यों का अनुभव करें",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,Adult: From A$249 | Senior: From A$217 | Child (4-14): From A$209 | Family (2 adults & 2 children): From A$799 | Adult (EMC): A$13.00 | Child (4-14) (EMC): A$7.00,,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,
ultimate_whitsundays_combo,ग्रेट बैरियर रीफ एडवेंचर,cruisewhitsundays,,"दुनिया के प्राकृतिक आश्चर्यों में से एक, लुभावनी ग्रेट बैरियर रीफ का पता लगाने के लिए पूरे दिन के साहसिक कार्य पर निकलें।यह दौरा प्रकृति प्रेमियों और साहसिक चाहने वालों के लिए एक अविस्मरणीय अनुभव प्रदान करता है, जो जीवंत समुद्री जीवन और प्रवाल भित्तियों के बीच स्नॉर्कलिंग, तैराकी और गोताखोरी के अवसर प्रदान करता है।व्हिट्संडेज़ की सुंदरता में डूबने की चाहत रखने वाले परिवारों, जोड़ों और एकल यात्रियों के लिए बिल्कुल सही, यह दौरा उत्साह के साथ विश्राम को जोड़ता है, जिसमें रीफवर्ल्ड पोंटून की यात्रा और एक स्वादिष्ट बुफे दोपहर का भोजन शामिल है।",Full Day,Port of Airlie,,FROM A$397,FROM A$185,"सुबह की चाय, दोपहर का भोजन और दोपहर की चाय
मुफ़्त चाय और कॉफ़ी
स्नॉर्कलिंग उपकरण
पानी के नीचे वेधशाला तक पहुंच
निर्देशित अर्ध-पनडुब्बी यात्रा","ग्रेट बैरियर रीफ का अन्वेषण करें
रीफवर्ल्ड पोंटून पर जाएँ
स्नॉर्कलिंग और डाइविंग के अवसर
पानी के नीचे वेधशाला
निर्देशित अर्ध-पनडुब्बी यात्रा
स्वादिष्ट बुफ़े लंच
शानदार समुद्री जीवन और मूंगा चट्टानें",,8.0,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,"static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_4.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,"Adult (Standard): A$397 | Adult (Premium): A$407 | Child (4-14, Standard): A$185 | Child (4-14, Premium): A$195 | Introductory Scuba Dive: A$169 | Introductory Scuba Dive (Premium): A$676 | Second Intro Dive: A$79 | Second Intro Dive (Premium): A$316 | Certified Scuba Dive: A$129 | Certified Scuba Dive (Premium): A$516 | Second Certified Scuba Dive: A$79 | Second Certified Scuba Dive (Premium): A$316 | Guided Snorkel Safari (Adult): A$79 | Guided Snorkel Safari (Adult, Premium): A$256 | Guided Snorkel Safari (Child): A$49",,,full_day,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,
whitehaven_beach___hill_inlet_chill___grill,व्हाइटहेवन बीच और हिल इनलेट चिल और ग्रिल,cruisewhitsundays,,"व्हाइटहेवन बीच के सर्वोत्तम अनुभव का आनंद लें, जो रोमांच और विश्राम का मिश्रण चाहने वालों के लिए बिल्कुल उपयुक्त है।पूरे दिन का यह भ्रमण व्हिटसंडे द्वीप समूह के माध्यम से एक सुंदर क्रूज की पेशकश करता है, जो आपको विश्व प्रसिद्ध व्हाइटहेवन बीच की आश्चर्यजनक सफेद सिलिका रेत का पता लगाने की अनुमति देता है।प्रकृति प्रेमियों और मध्यम स्तर की फिटनेस वाले लोगों के लिए आदर्श, आप तैराकी, लंबी पैदल यात्रा और सूरज का आनंद लेने का आनंद लेंगे।हिल इनलेट की अनूठी सुंदरता का अनुभव करें और समुद्र तट पर ऑस्ट्रेलियाई शैली के बीबीक्यू का आनंद लें, जिससे यह परिवारों और साहसिक चाहने वालों के लिए एक यादगार दिन बन जाएगा।",Full Day,Port of Airlie,Daily Departure & Return Times,FROM A$269,FROM A$139,"व्हिटसंडे द्वीप समूह के माध्यम से दर्शनीय परिभ्रमण
व्हाइटहेवन बीच पर 6 घंटे तक
हिल इनलेट और लुकआउट तक निर्देशित पैदल यात्रा
व्हाइटहेवन बीच लुकआउट की ओर चलें
समुद्र तट पर ऑस्ट्रेलियाई शैली का बारबेक्यू
सुबह और दोपहर की चाय
पूरे दिन के लिए समर्पित मेज़बान
समुद्र तट और सुरक्षात्मक स्टिंगर सूट का पूर्ण उपयोग
ग्रेट बैरियर रीफ पर्यावरण प्रबंधन प्रभार (ईएमसी)","आश्चर्यजनक व्हाइटहेवन समुद्रतट का अन्वेषण करें
हिल इनलेट तक निर्देशित पैदल यात्रा
समुद्र तट पर ऑस्ट्रेलियाई शैली का बारबेक्यू लंच
व्हिटसंडे द्वीप समूह के माध्यम से दर्शनीय परिभ्रमण
दिन के लिए समर्पित मेज़बान",,8.0,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_1.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_12.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,"Adult (Standard): A$269 | Adult (Premium): A$279 | Senior (Standard): A$239 | Senior (Premium): A$249 | Child (4-14, Standard): A$139 | Child (4-14, Premium): A$149 | Family (Standard): A$769 | Family (Premium): A$809",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,
whitehaven_beach_morning_or_afternoon_cruise,व्हाइटहेवन बीच सुबह या दोपहर की यात्रा,cruisewhitsundays,,"व्हाइटहेवन बीच की सुबह या दोपहर के क्रूज पर व्हिटसंडे की आश्चर्यजनक सुंदरता का अनुभव करें।यह सुंदर यात्रा आपको व्हिटसंडे पैसेज के माध्यम से ले जाती है, जो सुदूर जलमार्गों और छिपी हुई खाड़ियों के मनमोहक दृश्य पेश करती है।परिवारों और समुद्र तट प्रेमियों के लिए आदर्श, यह क्रूज़ प्रसिद्ध व्हाइटहेवन बीच पर एक आरामदायक सैर प्रदान करता है, जो अपनी प्राचीन सफेद रेत और क्रिस्टल-साफ़ पानी के लिए प्रसिद्ध है।समुद्र तट पर इत्मीनान से टहलने का आनंद लें, मनोरम दृश्यों के लिए थोड़ी पैदल यात्रा करें, या बस धूप में आराम करें।रोमांच के स्पर्श के साथ एक शांत समुद्र तट की तलाश करने वालों के लिए बिल्कुल सही।",Half Day,Port of Airlie,Departs morning and afternoon,FROM A$149,A$61,"व्हिटसंडे द्वीप समूह के माध्यम से दर्शनीय परिभ्रमण
डेड्रीम द्वीप और हैमिल्टन द्वीप पर संक्षिप्त पिक-अप स्टॉप
व्हाइटहेवन बीच के दक्षिणी छोर पर 2 घंटे तक
सुबह हो या दोपहर की चाय
दक्षिणी व्हाइटहेवन बीच लुकआउट तक पहुंच","व्हिटसंडे पैसेज के माध्यम से यात्रा करें
प्रसिद्ध व्हाइटहेवन बीच पर जाएँ
दक्षिणी व्हाइटहेवन बीच लुकआउट से मनोरम दृश्यों का आनंद लें
प्राचीन सफ़ेद रेत पर आराम करें
आश्चर्यजनक दृश्यों के साथ छोटी पदयात्रा का अवसर",,3.5,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_4.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_7.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,"Adult (Standard): A$149 | Adult (High Season): A$159 | Senior (Standard): A$134 | Senior (High Season): A$144 | Child (4-14, Standard): A$61 | Child (4-14, High Season): A$71 | Family (Standard): A$399 | Family (High Season): A$439",,,half_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,adventurous,,,,,
