id,name,company_name,summary,description,duration,departure_location,departure_times,price_adult,price_child,includes,highlights,keywords,duration_hours,link_booking,link_more_info,phone,image_url,image_urls,commission_rate,active,price_source_url,price_tiers,raw_text,duration_days,duration_category,tour_type,locations,tags,audience,intensity_level,video_urls,important_information,what_to_bring,whats_extra,cancellation_policy,booking_connected
camira_sailing_adventure,카미라 세일링 어드벤처,cruisewhitsundays,,"휘트선데이즈(The Whitsundays)에서 가장 큰 항해 쌍동선인 Camira를 타고 최고의 하루 종일 항해 모험을 경험해보세요.이 올인클루시브 여행은 힐 인렛(Hill Inlet)과 휘트선데이 섬(Whitsunday Island)의 상징적인 소용돌이치는 모래를 탐험하려는 사람들에게 완벽한 휴식과 모험의 독특한 조화를 제공합니다.제한된 수용 인원으로 인해 숨막히는 장소를 항해하면서 넓고 편안한 경험을 즐기실 수 있습니다.모험을 즐기는 사람들에게 이상적인 이 투어에는 부시워킹, 스노클링, 힐 인렛(Hill Inlet)까지의 가이드 산책이 포함되어 있어 놀라운 자연의 아름다움 속에서 기억에 남는 하루를 보낼 수 있습니다.",Full Day,Port of Airlie,,FROM A$249,FROM A$209,"휘트선데이즈(Whitsundays)를 거쳐 화이트헤이븐 해변(Whitehaven Beach)과 힐 인렛(Hill Inlet)까지 경치 좋은 왕복 항해 모험
아침과 오후의 차
거초에서 스노클링하기
바베큐 점심, 청량 음료 및 물
Hill Inlet까지 가이드 도보 및 전망대(조수에 따라 다름)
그레이트 배리어 리프 환경 관리 요금(EMC)","휘트선데이즈(The Whitsundays)에서 가장 큰 범선 쌍동선을 타고 항해하세요
상징적인 Hill Inlet과 Whitsunday Island를 방문하세요.
넓은 경험을 위한 제한된 용량
스노클링과 부시워킹을 즐겨보세요
힐 인렛(Hill Inlet) 전망대까지 가이드 산책
오전 및 오후 티타임 포함
청량음료와 물이 포함된 바베큐 점심",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,"Adult: FROM A$249 | Senior: FROM A$217 | Child (4-14): FROM A$209 | Family (2 adults & 2 children): FROM A$799 | Adult (Environmental Management Charge): A$13.00 | Child (Environmental Management Charge, 4-14): A$7.00",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
camira_sunset_sail,Sameera 선셋 스타일,cruisewhitsundays,,멋진 Camira 항해 쌍동선을 타고 Pioneer Bay의 일몰을 감상하면서 편안한 저녁을 즐겨보세요.모든 것이 포함된 음료와 맛있는 음식을 제공하는 이 일몰 항해는 긴장을 풀고 Airlie Beach의 멋진 전망을 감상할 수 있는 완벽한 방법입니다.해가 지평선 아래로 지는 휘트선데이즈의 아름다움을 경험하고 싶은 커플과 가족에게 이상적입니다.,Evening,Port of Airlie,"Departs 6pm, Returns 8pm",A$109,A$85,"해안선을 따라 에얼리 항구(Port of Airlie)에서 파이오니어 베이(Pioneer Bay)까지 일몰 항해를 하고 다시 돌아옵니다.
모든 음료 (맥주, 와인, 사이다, 스파클링 와인, 청량 음료 및 물)","일몰 시 에얼리 해변의 멋진 전망
항해 쌍동선을 타고 편안한 크루즈
모든 것이 포함된 음료와 맛있는 음식 제공
10월부터 2월까지 매주 금요일과 토요일 저녁에 운행",,,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,"static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,Adult: A$109 | Senior: A$95 | Child (4-14): A$85 | Family (2 adults & 2 children): A$330,,,unknown,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Whitehaven","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,,0
reefsuites,리프스위트 언더워터 어코모데이션,cruisewhitsundays,,"호주 최초의 수중 숙박 시설에 머물면서 그레이트 배리어 리프의 비교할 수 없는 아름다움을 경험해보세요.이 친밀한 모험은 럭셔리함과 자연의 완벽한 조화를 제공하며 객실에서 직접 산호초의 활기찬 해양 생물에 대한 잊을 수 없는 전망을 제공합니다.독특한 휴가를 원하는 커플에게 이상적인 별빛 아래에서 고급스러운 식사, 고급 산호초 활동, 바다의 경이로움에 둘러싸인 고요한 아침을 즐기실 수 있습니다.프라이버시와 바다의 마법을 소중히 여기는 사람들을 위해 맞춤 제작된 이 경험은 평생 지속될 추억을 약속합니다.",2 Days 1 Night,Port of Airlie,,"FROM A$2,050",,"휘트선데이즈(Whitsundays)를 지나 숙소까지 경치 좋은 크루즈
두 가지 수중 객실 옵션: 킹 더블 또는 트윈 싱글
고급 침구와 유리벽으로 마감된 실내 욕실
그레이트 배리어 리프(Great Barrier Reef)의 바닥에서 천장까지의 전망
아침 식사, 오전 및 오후 차, 점심 및 저녁 식사를 포함한 모든 식사
맥주와 와인을 포함한 모든 음료(일부 비용 추가)
별빛 아래에서 환상적인 식사 경험
암초에서의 활동","호주 최초의 수중 숙박 시설에 머물러보세요
놀라운 수중 풍경과 함께하는 친밀한 경험
암초에서의 특별한 아침
모든 것이 포함된 식사 및 음료
하트 리프(Heart Reef)로 가는 관광 비행(선택 사항)
폰툰에서의 별빛 저녁 식사
개인 암초 활동",,,https://www.cruisewhitsundays.com/experiences/reefsuites/,https://www.cruisewhitsundays.com/experiences/reefsuites/,,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,"static/tour_images/cruisewhitsundays/reefsuites/image_2.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_16.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsuites/,"Single: A$2,050 | Double: A$1,140 | Adult: A$13.00 | Child (4-14): A$7.00",,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven","adventure,family-friendly,luxury,private,small-group,sunset",family,adventurous,,,,,,0
reefsleep,리프슬립,cruisewhitsundays,,"독특한 1박 2일 모험인 Reefsleep을 통해 그레이트 배리어 리프를 이전과는 전혀 다른 방식으로 경험해 보세요.휘트선데이 제도(Whitsunday Islands)의 아름다움과 하디 리프(Hardy Reef)의 활기찬 해양 생물로 둘러싸인 리프월드 폰툰(Reefworld Pontoon)의 더블 리프베드(Reefbed)에서 별빛 아래서 잠을 청해 보세요.이 친밀한 경험은 자연과 교감하고 어둠이 내린 후 독점적인 암초 만남을 즐기고 싶은 커플과 모험가에게 적합합니다.모든 것이 포함된 식사와 음료, 다양한 활동을 즐겨보세요. 휴식과 모험을 모두 추구하는 사람들에게 기억에 남는 여행이 될 것입니다.",2 Days 1 Night,Port of Airlie,,FROM A$695,,"별빛 아래 더블 리프베드에서의 하룻밤 숙박
올인클루시브 식사: 아침 식사 1회, 오전 차 2회, 애프터눈 티 2회, 점심 2회, 별빛 아래 저녁 식사
올인클루시브 음료: 청량음료, 맥주, 와인(고급 음료는 추가 비용 지불 시 이용 가능)
모든 스노클링 장비가 제공되는 리프월드 폰툰(Reefworld Pontoon)에서 다양한 습식 및 건식 활동
그레이트 배리어 리프 환경 관리 요금(EMC)","그레이트 배리어 리프(Great Barrier Reef)의 별빛 아래에서 잠을 자세요
어두워진 후 리프월드 폰툰(Reefworld Pontoon) 독점 이용 가능
휘트선데이 제도(Whitsunday Islands)를 통과하는 경치 좋은 크루즈
모든 것이 포함된 식사 및 음료
옵션으로 로맨스 및 수중 디너 패키지 이용 가능
가이드 스노클링 사파리와 스쿠버 다이빙 기회
다양한 활동으로 산호초를 경험해보세요",,,https://www.cruisewhitsundays.com/experiences/reefsleep/,https://www.cruisewhitsundays.com/experiences/reefsleep/,,static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,"static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_18.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_24.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsleep/,Double Reefbed (2 people sharing): A$695 | Single Reefbed (1 person): A$960 | Adult (Day Visit): A$13.00 | Child (4-14) Day Visit: A$7.00,,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,luxury,private,relaxation,small-group,sunset",family,adventurous,,,,,,0
cruising_nomads,경치 좋은 휘트선데이 아일랜드 크루즈,cruisewhitsundays,,"편안히 앉아 휴식을 취하며 멋진 휘트선데이 제도(Whitsunday Islands)를 따라 여유롭게 크루즈를 즐겨보세요.이 경치 좋은 여행은 Daydream Island, Hamilton Island Marina 및 Hamilton Island Airport를 지나며 숨막히는 전경을 제공합니다.편안한 탈출을 원하는 사람들에게 완벽한 이 크루즈는 휘트선데이즈의 자연의 아름다움에 긴장을 풀고 흠뻑 젖을 수 있는 완벽한 배경을 제공합니다.",,Port of Airlie,,FROM A$69,,"휘트선데이 제도(Whitsunday Islands)를 통과하는 경치 좋은 크루즈로 돌아오세요
차와 커피 무제한","휘트선데이 제도(Whitsunday Islands)를 통과하는 경치 좋은 크루즈
데이드림 아일랜드(Daydream Island)를 지나
해밀턴 아일랜드 마리나 보기
해밀턴 아일랜드 공항 보기
휴식을 취하고 멋진 전망을 즐기세요",,,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,,static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,"static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,static/tour_images/cruisewhitsundays/cruising_nomads/image_3.jpg",,True,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,Adult: FROM A$69,,,unknown,water,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,relaxation",general,relaxed,,,,,,0
great_barrier_reef_full_day_adventure,그레이트 배리어 리프 하루 종일 모험,cruisewhitsundays,,"청록색 바다와 생기 넘치는 해양 생물이 기다리고 있는 그레이트 배리어 리프(Great Barrier Reef)로 숨막히는 여행을 떠나보세요.이 하루 종일 모험은 자연 애호가와 스릴을 추구하는 사람들 모두에게 적합하며 세계에서 가장 놀라운 자연의 경이로움 중 하나를 탐험할 수 있는 독특한 기회를 제공합니다.스노클링, 수영, 다채로운 수중 세계로 다이빙을 하거나 경치 좋은 크루즈를 타고 편안하게 전망을 즐기세요.잊을 수 없는 경험을 원하는 가족, 커플, 나홀로 여행자에게 이상적입니다.",Full Day,Port of Airlie,,FROM A$319,,"휘트선데이 제도(Whitsunday Islands)를 거쳐 아우터 리프(Outer Reef)까지 경치 좋은 왕복 크루즈
하디 리프에서 4시간
잠수복과 스팅거 슈트를 포함한 모든 스노클링 장비 제공
모닝 티, 점심, 애프터눈 티","세계유산으로 등재된 불가사의인 그레이트 배리어 리프(Great Barrier Reef)를 탐험해보세요
생기 넘치는 산호와 해양 생물 사이에서 스노클링, 수영, 다이빙을 즐겨보세요
휘트선데이 제도(Whitsunday Islands)를 통과하는 경치 좋은 크루즈
리프월드 폰툰(Reefworld Pontoon)에서 맛있는 점심 뷔페를 즐겨보세요
가이드 스노클링 사파리 및 스쿠버 다이빙과 같은 선택 활동",,8.0,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg,"static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_10.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_11.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,"Adult (Standard): A$319 | Adult (High Season): A$329 | Senior (Standard): A$289 | Senior (High Season): A$299 | Child (4-14, Standard): A$155 | Child (4-14, High Season): A$165 | Family (2 adults & 2 children, Standard): A$859 | Family (2 adults & 2 children, High Season): A$899 | Introductory Scuba Dive (Standard): A$169 | Introductory Scuba Dive (High Season): A$676 | Second Intro Dive (Standard): A$79 | Second Intro Dive (High Season): A$316 | Certified Scuba Dive (Standard): A$129 | Certified Scuba Dive (High Season): A$516 | Second Cert Dive (Standard): A$79 | Second Cert Dive (High Season): A$316 | Snorkel Safari (Adult, Standard): A$79 | Snorkel Safari (Adult, High Season): A$256 | Snorkel Safari (Child, Standard): A$49",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,sunset",family,adventurous,,,,,,0
camira_sailing_adventure,카미라 세일링 어드벤처,cruisewhitsundays,,"이 지역에서 가장 큰 범선 쌍동선을 타고 휘트선데이즈(Whitsundays)를 스타일리쉬하게 경험해 보세요.Camira Sailing Adventure는 하루 종일 모든 것이 포함된 항해 경험을 제공하며 휴식과 모험의 조화를 원하는 사람들에게 적합합니다.아름다운 휘트선데이 제도(Whitsunday Islands)를 항해하고, 힐 인렛(Hill Inlet)의 상징적인 소용돌이 모래사장을 방문하고, 가장자리 암초에서 스노클링 기회를 즐겨보세요.이 투어는 바다 공기와 숨막히는 섬의 전망을 좋아하고 적당한 수준의 체력을 가진 사람들에게 이상적입니다.",Full Day,Port of Airlie,,FROM A$249,FROM A$209,"휘트선데이즈(Whitsundays)를 거쳐 화이트헤이븐 해변(Whitehaven Beach)과 힐 인렛(Hill Inlet)까지 경치 좋은 왕복 항해 모험
아침과 오후의 차
거초에서 스노클링하기
바베큐 점심, 청량 음료 및 물
Hill Inlet까지 가이드 도보 및 전망대(조수에 따라 다름)
자외선 차단제, 모자, 선글라스 및 보호복","휘트선데이즈(The Whitsundays)에서 가장 큰 범선 쌍동선을 타고 항해하세요
상징적인 Hill Inlet과 Whitsunday Island를 방문하세요.
거초에서 스노클링하기
선상에서 바비큐 점심을 즐기세요
힐 인렛(Hill Inlet) 전망대까지 가이드 산책
바다 공기와 아름다운 섬의 전망을 경험해보세요",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,Adult: From A$249 | Senior: From A$217 | Child (4-14): From A$209 | Family (2 adults & 2 children): From A$799 | Adult (EMC): A$13.00 | Child (4-14) (EMC): A$7.00,,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
ultimate_whitsundays_combo,그레이트 배리어 리프 어드벤처,cruisewhitsundays,,"세계 자연의 경이로움 중 하나인 숨 막히는 그레이트 배리어 리프(Great Barrier Reef)를 탐험하기 위한 하루 종일 모험을 떠나보세요.이 투어는 자연을 사랑하는 사람들과 모험을 추구하는 사람들에게 잊지 못할 경험을 선사하며, 활기찬 해양 생물과 산호초 사이에서 스노클링, 수영, 다이빙을 즐길 수 있는 기회를 제공합니다.휘트선데이즈의 아름다움에 흠뻑 빠져들고 싶은 가족, 커플, 나홀로 여행자에게 완벽한 이 투어는 리프월드 폰툰 방문과 맛있는 점심 뷔페를 포함하여 휴식과 즐거움을 결합합니다.",Full Day,Port of Airlie,,FROM A$397,FROM A$185,"모닝 티, 점심, 애프터눈 티
무료 차와 커피
스노클링 장비
수중 전망대 이용
가이드 반잠수정 투어","그레이트 배리어 리프 탐험
리프월드 폰툰 방문
스노클링 및 다이빙 기회
수중전망대
가이드 반잠수정 투어
맛있는 뷔페 점심
아름다운 해양 생물과 산호초",,8.0,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,"static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_4.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,"Adult (Standard): A$397 | Adult (Premium): A$407 | Child (4-14, Standard): A$185 | Child (4-14, Premium): A$195 | Introductory Scuba Dive: A$169 | Introductory Scuba Dive (Premium): A$676 | Second Intro Dive: A$79 | Second Intro Dive (Premium): A$316 | Certified Scuba Dive: A$129 | Certified Scuba Dive (Premium): A$516 | Second Certified Scuba Dive: A$79 | Second Certified Scuba Dive (Premium): A$316 | Guided Snorkel Safari (Adult): A$79 | Guided Snorkel Safari (Adult, Premium): A$256 | Guided Snorkel Safari (Child): A$49",,,full_day,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,,0
whitehaven_beach___hill_inlet_chill___grill,화이트헤이븐 해변 및 힐 인렛 칠 앤 그릴,cruisewhitsundays,,"모험과 휴식의 조화를 원하는 사람들에게 완벽한 최고의 Whitehaven Beach 경험을 즐겨보세요.이 하루 종일 여행은 휘트선데이 제도(Whitsunday Islands)를 통과하는 경치 좋은 크루즈를 제공하며, 세계적으로 유명한 화이트헤이븐 해변(Whitehaven Beach)의 아름다운 백사장을 탐험할 수 있습니다.자연을 사랑하는 사람과 적당한 수준의 체력을 가진 사람들에게 이상적인 이 곳에서는 수영, 하이킹, 일광욕을 즐길 수 있습니다.Hill Inlet의 독특한 아름다움을 경험하고 해변에서 호주식 바비큐를 즐겨보세요. 가족과 모험을 즐기는 사람들 모두에게 기억에 남는 하루가 될 것입니다.",Full Day,Port of Airlie,Daily Departure & Return Times,FROM A$269,FROM A$139,"휘트선데이 제도(Whitsunday Islands)를 통과하는 경치 좋은 크루즈
화이트헤이븐 해변에서 최대 6시간
힐 인렛(Hill Inlet)과 전망대까지 가이드 산책
화이트헤이븐 비치 전망대까지 도보 이동
해변에서 즐기는 호주식 바비큐
아침과 오후의 차
하루 동안 전용 호스트
해변 및 보호용 스팅거 슈트를 최대한 활용
그레이트 배리어 리프 환경 관리 요금(EMC)","아름다운 화이트헤이븐 해변을 탐험해보세요
힐 인렛(Hill Inlet)까지 가이드 산책
해변에서의 호주식 바비큐 점심
휘트선데이 제도(Whitsunday Islands)를 통과하는 경치 좋은 크루즈
오늘의 전담 호스트",,8.0,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_1.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_12.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,"Adult (Standard): A$269 | Adult (Premium): A$279 | Senior (Standard): A$239 | Senior (Premium): A$249 | Child (4-14, Standard): A$139 | Child (4-14, Premium): A$149 | Family (Standard): A$769 | Family (Premium): A$809",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
whitehaven_beach_morning_or_afternoon_cruise,화이트헤이븐 비치 오전 또는 오후 크루즈,cruisewhitsundays,,"화이트헤이븐 비치 오전 또는 오후 크루즈를 타고 휘트선데이즈의 눈부신 아름다움을 경험해보세요.이 경치 좋은 여행은 휘트선데이 패시지(Whitsunday Passage)를 통과하여 외딴 수로와 숨겨진 만의 숨막히는 전경을 제공합니다.가족 및 해변 애호가에게 이상적인 이 크루즈는 깨끗한 백사장과 수정처럼 맑은 바다로 유명한 유명한 화이트헤이븐 해변으로의 편안한 휴식을 제공합니다.해변을 따라 여유롭게 산책을 즐기거나, 짧은 하이킹을 하면서 탁 트인 전망을 감상하거나, 단순히 태양 아래에서 휴식을 취해보세요.모험이 가미된 고요한 해변 휴가를 원하는 사람들에게 적합합니다.",Half Day,Port of Airlie,Departs morning and afternoon,FROM A$149,A$61,"휘트선데이 제도(Whitsunday Islands)를 통과하는 경치 좋은 크루즈
데이드림 아일랜드(Daydream Island)와 해밀턴 아일랜드(Hamilton Island)에서 잠시 픽업 정차
화이트헤이븐 비치 남쪽 끝에서 최대 2시간
아침이나 오후의 차
Southern Whitehaven Beach 전망대 이용","휘트선데이 패시지(Whitsunday Passage)를 따라 크루즈하세요
유명한 Whitehaven 해변을 방문하세요
Southern Whitehaven Beach Lookout에서 탁 트인 전망을 즐기세요
깨끗한 백사장에서 휴식을 취하세요
멋진 전망을 감상하며 짧은 하이킹을 즐길 수 있는 기회",,3.5,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_4.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_7.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,"Adult (Standard): A$149 | Adult (High Season): A$159 | Senior (Standard): A$134 | Senior (High Season): A$144 | Child (4-14, Standard): A$61 | Child (4-14, High Season): A$71 | Family (Standard): A$399 | Family (High Season): A$439",,,half_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,adventurous,,,,,,0
