id,name,company_name,summary,description,duration,departure_location,departure_times,price_adult,price_child,includes,highlights,keywords,duration_hours,link_booking,link_more_info,phone,image_url,image_urls,commission_rate,active,price_source_url,price_tiers,raw_text,duration_days,duration_category,tour_type,locations,tags,audience,intensity_level,video_urls,important_information,what_to_bring,whats_extra,cancellation_policy,booking_connected
camira_sailing_adventure,Camira-Segelabenteuer,cruisewhitsundays,,"Erleben Sie das ultimative ganztägige Segelabenteuer an Bord von Camira, dem größten Segelkatamaran in den Whitsundays.Diese All-Inclusive-Reise bietet eine einzigartige Mischung aus Entspannung und Abenteuer und ist perfekt für diejenigen, die die berühmten Sandstrände von Hill Inlet und Whitsunday Island erkunden möchten.Dank der begrenzten Kapazität genießen Sie ein geräumiges und komfortables Erlebnis, während Sie durch atemberaubende Orte segeln.Diese Tour ist ideal für Abenteuerlustige und beinhaltet Buschwanderungen, Schnorcheln und eine geführte Wanderung zum Hill Inlet, um einen unvergesslichen Tag inmitten atemberaubender Naturschönheiten zu garantieren.",Full Day,Port of Airlie,,FROM A$249,FROM A$209,"Malerisches Segelabenteuer zurück durch die Whitsundays nach Whitehaven Beach und Hill Inlet
Morgen- und Nachmittagstee
Schnorcheln am Saumriff
BBQ-Mittagessen, alkoholfreie Getränke und Wasser
Geführte Wanderung zum Hill Inlet und Aussichtspunkt (abhängig von den Gezeiten)
Great Barrier Reef Environmental Management Charge (EMC)","Segeln Sie an Bord des größten Segelkatamarans in den Whitsundays
Besuchen Sie das berühmte Hill Inlet und Whitsunday Island
Begrenzte Kapazität für ein großzügiges Erlebnis
Genießen Sie Schnorcheln und Buschwandern
Geführte Wanderung zum Aussichtspunkt Hill Inlet
Morgen- und Nachmittagstee inklusive
BBQ-Mittagessen mit alkoholfreien Getränken und Wasser",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,"Adult: FROM A$249 | Senior: FROM A$217 | Child (4-14): FROM A$209 | Family (2 adults & 2 children): FROM A$799 | Adult (Environmental Management Charge): A$13.00 | Child (Environmental Management Charge, 4-14): A$7.00",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
camira_sunset_sail,Sameera-Sonnenuntergang-Stil,cruisewhitsundays,,"Genießen Sie einen entspannten Abend an Bord des atemberaubenden Segelkatamarans Camira, während Sie dem Sonnenuntergang über der Pioneer Bay entgegenfahren.Mit All-Inclusive-Getränken und köstlichen Speisenangeboten ist diese Segelfahrt bei Sonnenuntergang die perfekte Möglichkeit, sich zu entspannen und die spektakuläre Aussicht auf Airlie Beach zu genießen.Ideal für Paare und Familien, die die Schönheit der Whitsundays erleben möchten, während die Sonne hinter dem Horizont verschwindet.",Evening,Port of Airlie,"Departs 6pm, Returns 8pm",A$109,A$85,"Segeln Sie bei Sonnenuntergang vom Hafen von Airlie entlang der Küste zur Pioneer Bay und zurück
Alle Getränke (Bier, Wein, Apfelwein, Sekt, Erfrischungsgetränke und Wasser)","Spektakuläre Aussicht auf Airlie Beach bei Sonnenuntergang
Entspannende Kreuzfahrt an Bord eines Segelkatamarans
All-Inclusive-Getränke und leckeres Essensangebot
Von Oktober bis Februar jeden Freitag- und Samstagabend geöffnet",,,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,"static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,Adult: A$109 | Senior: A$95 | Child (4-14): A$85 | Family (2 adults & 2 children): A$330,,,unknown,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Whitehaven","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,,0
reefsuites,Reefsuites Unterwasserunterkunft,cruisewhitsundays,,"Erleben Sie die unvergleichliche Schönheit des Great Barrier Reef bei einem Aufenthalt in Australiens erster Unterwasserunterkunft.Dieses intime Abenteuer bietet die perfekte Mischung aus Luxus und Natur und bietet einen unvergesslichen Blick auf die pulsierende Unterwasserwelt des Riffs direkt von Ihrem Zimmer aus.Ideal für Paare, die einen einzigartigen Kurzurlaub suchen. Sie können exquisites Essen unter den Sternen, exklusive Aktivitäten am Riff und einen ruhigen Morgen inmitten der Wunder des Ozeans genießen.Dieses Erlebnis ist auf diejenigen zugeschnitten, die Privatsphäre und den Zauber des Meeres schätzen, und verspricht Erinnerungen, die ein Leben lang anhalten werden.",2 Days 1 Night,Port of Airlie,,"FROM A$2,050",,"Malerische Kreuzfahrt durch die Whitsundays zur Unterkunft
Zwei Unterwasserzimmeroptionen: Kingsize-Doppelzimmer oder Twin-Einzelzimmer
Hochwertige Bettwäsche und eigenes Badezimmer mit Glaswänden
Vom Boden bis zur Decke reichender Blick auf das Great Barrier Reef
Alle Mahlzeiten, einschließlich Frühstück, Morgen- und Nachmittagstee, Mittag- und Abendessen
Alle Getränke inklusive Bier und Wein (teilweise gegen Aufpreis)
Spektakuläres kulinarisches Erlebnis unter den Sternen
Aktivitäten am Riff","Übernachten Sie in Australiens erster Unterwasserunterkunft
Intimes Erlebnis mit atemberaubendem Unterwasserblick
Exklusiver Morgen am Riff
All-Inclusive-Mahlzeiten und Getränke
Optionaler Rundflug zum Heart Reef
Abendessen im Sternenlicht auf dem Ponton
Private Riffaktivitäten",,,https://www.cruisewhitsundays.com/experiences/reefsuites/,https://www.cruisewhitsundays.com/experiences/reefsuites/,,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,"static/tour_images/cruisewhitsundays/reefsuites/image_2.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_16.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsuites/,"Single: A$2,050 | Double: A$1,140 | Adult: A$13.00 | Child (4-14): A$7.00",,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven","adventure,family-friendly,luxury,private,small-group,sunset",family,adventurous,,,,,,0
reefsleep,Riffschlaf,cruisewhitsundays,,"Erleben Sie das Great Barrier Reef wie nie zuvor mit Reefsleep, einem einzigartigen zweitägigen Abenteuer mit einer Nacht.Schlafen Sie unter den Sternen auf einem doppelten Riffbett auf dem Reefworld-Ponton, umgeben von der Schönheit der Whitsunday Islands und dem pulsierenden Meeresleben des Hardy Reef.Dieses intime Erlebnis ist perfekt für Paare und Abenteurer, die sich mit der Natur verbinden und eine exklusive Riffbegegnung nach Einbruch der Dunkelheit genießen möchten.Genießen Sie All-Inclusive-Mahlzeiten und -Getränke sowie eine Reihe von Aktivitäten, die diese Reise zu einer unvergesslichen Reise für alle machen, die sowohl Entspannung als auch Abenteuer suchen.",2 Days 1 Night,Port of Airlie,,FROM A$695,,"Übernachtung in einem Doppel-Riffbett unter den Sternen
All-Inclusive-Mahlzeiten: 1 Frühstück, 2 Morgen- und 2 Nachmittagstees, 2 Mittagessen und Abendessen unter dem Sternenhimmel
All-Inclusive-Getränke: Erfrischungsgetränk, Bier und Wein (Premiumgetränke gegen Aufpreis erhältlich)
Eine Reihe von Nass- und Trockenaktivitäten auf dem Reefworld-Ponton mit kompletter Schnorchelausrüstung
Great Barrier Reef Environmental Management Charge (EMC)","Schlafen Sie unter den Sternen am Great Barrier Reef
Exklusiver Zugang zum Reefworld-Ponton nach Einbruch der Dunkelheit
Malerische Kreuzfahrt durch die Whitsunday Islands
All-Inclusive-Mahlzeiten und Getränke
Optionale Romantik- und Unterwasser-Dinner-Pakete verfügbar
Möglichkeit zur geführten Schnorchelsafari und zum Tauchen
Erleben Sie das Riff mit einer Reihe von Aktivitäten",,,https://www.cruisewhitsundays.com/experiences/reefsleep/,https://www.cruisewhitsundays.com/experiences/reefsleep/,,static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,"static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_18.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_24.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsleep/,Double Reefbed (2 people sharing): A$695 | Single Reefbed (1 person): A$960 | Adult (Day Visit): A$13.00 | Child (4-14) Day Visit: A$7.00,,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,luxury,private,relaxation,small-group,sunset",family,adventurous,,,,,,0
cruising_nomads,Malerische Bootsfahrt zu den Whitsunday Islands,cruisewhitsundays,,"Lehnen Sie sich zurück, entspannen Sie sich und genießen Sie eine gemütliche Kreuzfahrt durch die atemberaubenden Whitsunday Islands.Diese malerische Reise bietet atemberaubende Ausblicke, während Sie an Daydream Island, dem Hamilton Island Marina und dem Hamilton Island Airport vorbeigleiten.Diese Kreuzfahrt ist ideal für alle, die einen erholsamen Kurzurlaub suchen und bietet die perfekte Kulisse zum Entspannen und Genießen der natürlichen Schönheit der Whitsundays.",,Port of Airlie,,FROM A$69,,"Malerische Rückfahrt durch die Whitsunday Islands
Unbegrenzter Tee und Kaffee","Malerische Kreuzfahrt durch die Whitsunday Islands
Fahren Sie an Daydream Island vorbei
Sehen Sie sich den Yachthafen von Hamilton Island an
Siehe Flughafen Hamilton Island
Entspannen Sie sich und genießen Sie die atemberaubende Aussicht",,,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,,static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,"static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,static/tour_images/cruisewhitsundays/cruising_nomads/image_3.jpg",,True,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,Adult: FROM A$69,,,unknown,water,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,relaxation",general,relaxed,,,,,,0
great_barrier_reef_full_day_adventure,Ganztägiges Abenteuer am Great Barrier Reef,cruisewhitsundays,,"Begeben Sie sich auf eine atemberaubende Reise zum Great Barrier Reef, wo türkisfarbenes Wasser und ein pulsierendes Meeresleben auf Sie warten.Dieses ganztägige Abenteuer ist perfekt für Naturliebhaber und Abenteuerlustige gleichermaßen und bietet eine einzigartige Gelegenheit, eines der atemberaubendsten Naturwunder der Welt zu erkunden.Schnorcheln, schwimmen oder tauchen Sie in die farbenfrohe Unterwasserwelt ein oder genießen Sie die Aussicht bequem bei einer malerischen Kreuzfahrt.Ideal für Familien, Paare und Alleinreisende, die ein unvergessliches Erlebnis suchen.",Full Day,Port of Airlie,,FROM A$319,,"Malerische Rückfahrt durch die Whitsunday Islands zum Outer Reef
4 Stunden am Hardy Reef
Sämtliche Schnorchelausrüstung wird bereitgestellt, einschließlich Neoprenanzügen und Stinger-Anzügen
Morgentee, Mittagessen und Nachmittagstee","Erkunden Sie das Great Barrier Reef, ein Weltnaturerbe
Schnorcheln, schwimmen oder tauchen Sie inmitten der farbenfrohen Korallen- und Meereslebewesen
Malerische Kreuzfahrt durch die Whitsunday Islands
Genießen Sie ein köstliches Mittagsbuffet auf dem Reefworld-Ponton
Optionale Aktivitäten wie geführte Schnorchelsafaris und Tauchen",,8.0,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg,"static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_10.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_11.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,"Adult (Standard): A$319 | Adult (High Season): A$329 | Senior (Standard): A$289 | Senior (High Season): A$299 | Child (4-14, Standard): A$155 | Child (4-14, High Season): A$165 | Family (2 adults & 2 children, Standard): A$859 | Family (2 adults & 2 children, High Season): A$899 | Introductory Scuba Dive (Standard): A$169 | Introductory Scuba Dive (High Season): A$676 | Second Intro Dive (Standard): A$79 | Second Intro Dive (High Season): A$316 | Certified Scuba Dive (Standard): A$129 | Certified Scuba Dive (High Season): A$516 | Second Cert Dive (Standard): A$79 | Second Cert Dive (High Season): A$316 | Snorkel Safari (Adult, Standard): A$79 | Snorkel Safari (Adult, High Season): A$256 | Snorkel Safari (Child, Standard): A$49",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,sunset",family,adventurous,,,,,,0
camira_sailing_adventure,Camira-Segelabenteuer,cruisewhitsundays,,"Erleben Sie die Whitsundays mit Stil an Bord des größten Segelkatamarans der Region.Das Camira Sailing Adventure bietet ein ganztägiges All-Inclusive-Segelerlebnis, perfekt für alle, die eine Mischung aus Entspannung und Abenteuer suchen.Segeln Sie durch die atemberaubenden Whitsunday Islands, besuchen Sie die berühmten Sandstrände von Hill Inlet und genießen Sie Schnorchelmöglichkeiten am Saumriff.Diese Tour ist ideal für Personen mit mäßiger Fitness, die die Meeresluft und die atemberaubende Aussicht auf die Insel lieben.",Full Day,Port of Airlie,,FROM A$249,FROM A$209,"Malerisches Segelabenteuer zurück durch die Whitsundays nach Whitehaven Beach und Hill Inlet
Morgen- und Nachmittagstee
Schnorcheln am Saumriff
BBQ-Mittagessen, alkoholfreie Getränke und Wasser
Geführte Wanderung zum Hill Inlet und Aussichtspunkt (abhängig von den Gezeiten)
Sonnencreme, Hut, Sonnenbrille und Schutzkleidung","Segeln Sie an Bord des größten Segelkatamarans in den Whitsundays
Besuchen Sie das berühmte Hill Inlet und Whitsunday Island
Schnorcheln Sie am Saumriff
Genießen Sie ein BBQ-Mittagessen an Bord
Geführte Wanderung zum Aussichtspunkt Hill Inlet
Erleben Sie die Meeresluft und die atemberaubende Aussicht auf die Insel",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,Adult: From A$249 | Senior: From A$217 | Child (4-14): From A$209 | Family (2 adults & 2 children): From A$799 | Adult (EMC): A$13.00 | Child (4-14) (EMC): A$7.00,,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
ultimate_whitsundays_combo,Great Barrier Reef-Abenteuer,cruisewhitsundays,,"Begeben Sie sich auf ein ganztägiges Abenteuer und erkunden Sie das atemberaubende Great Barrier Reef, eines der Naturwunder der Welt.Diese Tour bietet ein unvergessliches Erlebnis für Naturliebhaber und Abenteuersuchende und bietet Möglichkeiten zum Schnorcheln, Schwimmen und Tauchen inmitten der lebhaften Meereslebewesen und Korallenriffe.Perfekt für Familien, Paare und Alleinreisende, die in die Schönheit der Whitsundays eintauchen möchten. Diese Tour verbindet Entspannung mit Spannung und beinhaltet einen Besuch des Reefworld-Pontons und ein köstliches Mittagsbuffet.",Full Day,Port of Airlie,,FROM A$397,FROM A$185,"Morgentee, Mittagessen und Nachmittagstee
Kostenloser Tee und Kaffee
Schnorchelausrüstung
Zugang zum Unterwasserobservatorium
Geführte Halb-U-Boot-Tour","Erkunden Sie das Great Barrier Reef
Besuchen Sie den Reefworld-Ponton
Schnorchel- und Tauchmöglichkeiten
Unterwasserobservatorium
Geführte Halb-U-Boot-Tour
Köstliches Mittagsbuffet
Spektakuläre Meereslebewesen und Korallenriffe",,8.0,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,"static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_4.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,"Adult (Standard): A$397 | Adult (Premium): A$407 | Child (4-14, Standard): A$185 | Child (4-14, Premium): A$195 | Introductory Scuba Dive: A$169 | Introductory Scuba Dive (Premium): A$676 | Second Intro Dive: A$79 | Second Intro Dive (Premium): A$316 | Certified Scuba Dive: A$129 | Certified Scuba Dive (Premium): A$516 | Second Certified Scuba Dive: A$79 | Second Certified Scuba Dive (Premium): A$316 | Guided Snorkel Safari (Adult): A$79 | Guided Snorkel Safari (Adult, Premium): A$256 | Guided Snorkel Safari (Child): A$49",,,full_day,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,,0
whitehaven_beach___hill_inlet_chill___grill,Whitehaven Beach & Hill Inlet Chill & Grill,cruisewhitsundays,,"Gönnen Sie sich das ultimative Whitehaven Beach-Erlebnis, perfekt für alle, die eine Mischung aus Abenteuer und Entspannung suchen.Dieser ganztägige Ausflug bietet eine malerische Kreuzfahrt durch die Whitsunday Islands und ermöglicht es Ihnen, den atemberaubenden weißen Quarzsand des weltberühmten Whitehaven Beach zu erkunden.Ideal für Naturliebhaber und Menschen mit mäßiger Fitness: Hier können Sie schwimmen, wandern und die Sonne genießen.Erleben Sie die einzigartige Schönheit von Hill Inlet und genießen Sie ein BBQ im australischen Stil am Strand, was es zu einem unvergesslichen Tag für Familien und Abenteuerlustige macht.",Full Day,Port of Airlie,Daily Departure & Return Times,FROM A$269,FROM A$139,"Malerische Kreuzfahrt durch die Whitsunday Islands
Bis zu 6 Stunden am Whitehaven Beach
Geführte Wanderung zum Hill Inlet und Lookout
Gehen Sie zum Whitehaven Beach Lookout
BBQ im australischen Stil am Strand
Morgen- und Nachmittagstee
Dedizierter Gastgeber für die Dauer des Tages
Volle Nutzung von Strand- und Stinger-Schutzanzügen
Great Barrier Reef Environmental Management Charge (EMC)","Erkunden Sie den atemberaubenden Whitehaven Beach
Geführte Wanderung zum Hill Inlet
BBQ-Mittagessen im australischen Stil am Strand
Malerische Kreuzfahrt durch die Whitsunday Islands
Engagierter Gastgeber für diesen Tag",,8.0,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_1.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_12.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,"Adult (Standard): A$269 | Adult (Premium): A$279 | Senior (Standard): A$239 | Senior (Premium): A$249 | Child (4-14, Standard): A$139 | Child (4-14, Premium): A$149 | Family (Standard): A$769 | Family (Premium): A$809",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
whitehaven_beach_morning_or_afternoon_cruise,Kreuzfahrt am Whitehaven Beach am Vormittag oder Nachmittag,cruisewhitsundays,,"Erleben Sie die atemberaubende Schönheit der Whitsundays auf der Whitehaven Beach Morning oder Afternoon Cruise.Diese malerische Reise führt Sie durch die Whitsunday Passage und bietet atemberaubende Ausblicke auf abgelegene Wasserstraßen und versteckte Buchten.Diese Kreuzfahrt ist ideal für Familien und Strandliebhaber und bietet einen entspannten Ausflug zum berühmten Whitehaven Beach, der für seinen unberührten weißen Sand und das kristallklare Wasser bekannt ist.Genießen Sie einen gemütlichen Spaziergang am Strand, unternehmen Sie eine kurze Wanderung mit Panoramablick oder entspannen Sie einfach in der Sonne.Perfekt für alle, die einen ruhigen Strandurlaub mit einem Hauch von Abenteuer suchen.",Half Day,Port of Airlie,Departs morning and afternoon,FROM A$149,A$61,"Malerische Kreuzfahrt durch die Whitsunday Islands
Kurzer Abholstopp auf Daydream Island und Hamilton Island
Bis zu 2 Stunden am südlichen Ende von Whitehaven Beach
Morgen- oder Nachmittagstee
Zugang zum Southern Whitehaven Beach Lookout","Fahren Sie durch die Whitsunday Passage
Besuchen Sie den berühmten Whitehaven Beach
Genießen Sie den Panoramablick vom Southern Whitehaven Beach Lookout
Entspannen Sie sich auf unberührten weißen Sandstränden
Gelegenheit für eine kurze Wanderung mit atemberaubender Aussicht",,3.5,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_4.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_7.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,"Adult (Standard): A$149 | Adult (High Season): A$159 | Senior (Standard): A$134 | Senior (High Season): A$144 | Child (4-14, Standard): A$61 | Child (4-14, High Season): A$71 | Family (Standard): A$399 | Family (High Season): A$439",,,half_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,adventurous,,,,,,0
