id,name,company_name,summary,description,duration,departure_location,departure_times,price_adult,price_child,includes,highlights,keywords,duration_hours,link_booking,link_more_info,phone,image_url,image_urls,commission_rate,active,price_source_url,price_tiers,raw_text,duration_days,duration_category,tour_type,locations,tags,audience,intensity_level,video_urls,important_information,what_to_bring,whats_extra,cancellation_policy,booking_connected
camira_sailing_adventure,卡米拉航海冒险,cruisewhitsundays,,登上圣灵群岛最大的双体帆船卡米拉 (Camira) 体验终极全日航海冒险。这一全包之旅提供了放松与冒险的独特结合，非常适合那些想要探索希尔湾和圣灵岛标志性旋转沙滩的游客。由于容量有限，您将在航行穿过令人惊叹的地点时享受宽敞舒适的体验。此行程非常适合冒险家，包括丛林徒步、浮潜以及带导游步行前往希尔湾 (Hill Inlet)，确保您在令人惊叹的自然美景中度过难忘的一天。,Full Day,Port of Airlie,,FROM A$249,FROM A$209,"穿越圣灵群岛到怀特黑文海滩和希尔湾的风景优美的往返航行冒险
上午茶和下午茶
岸礁浮潜
烧烤午餐、软饮料和水
导游带领步行前往 Hill Inlet 和观景台（视潮汐而定）
大堡礁环境管理费 (EMC)","乘坐圣灵群岛最大的双体帆船航行
参观标志性的希尔湾和圣灵岛
容量有限，无法享受宽敞的体验
享受浮潜和丛林徒步
导游带领步行前往 Hill Inlet 观景台
含早茶和下午茶
烧烤午餐，含软饮料和水",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,"Adult: FROM A$249 | Senior: FROM A$217 | Child (4-14): FROM A$209 | Family (2 adults & 2 children): FROM A$799 | Adult (Environmental Management Charge): A$13.00 | Child (Environmental Management Charge, 4-14): A$7.00",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
camira_sunset_sail,Sameera日落风格,cruisewhitsundays,,登上令人惊叹的卡米拉双体帆船，欣赏先锋湾的日落美景，享受轻松的夜晚。日落航行提供全包饮料和美味佳肴，是放松身心并欣赏艾尔利海滩壮丽景色的完美方式。非常适合希望在太阳落入地平线时体验圣灵群岛美景的情侣和家庭。,Evening,Port of Airlie,"Departs 6pm, Returns 8pm",A$109,A$85,"日落时分，沿着海岸线从艾尔利港航行至先锋湾并返回
所有饮料（啤酒、葡萄酒、苹果酒、起泡酒、软饮料和水）","艾尔利海滩日落时的壮丽景色
乘坐双体帆船轻松巡航
全包饮料和美味佳肴
十月至二月每周五和周六晚上运营",,,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,"static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,Adult: A$109 | Senior: A$95 | Child (4-14): A$85 | Family (2 adults & 2 children): A$330,,,unknown,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Whitehaven","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,,0
reefsuites,珊瑚礁套房水下住宿,cruisewhitsundays,,入住澳大利亚第一家水下住宿，体验大堡礁无与伦比的美景。这种亲密的冒险体验将奢华与自然完美融合，让您可以直接从您的房间欣赏到令人难忘的珊瑚礁充满活力的海洋生物景观。这里非常适合寻求独特度假的情侣，您将享受星空下的精致餐饮、独特的珊瑚礁活动以及被海洋奇观包围的宁静早晨。这种体验专为那些珍视隐私和海洋魔力的人士量身定制，带来终生难忘的回忆。,2 Days 1 Night,Port of Airlie,,"FROM A$2,050",,"穿越圣灵群岛的风景优美的游船到达住宿地点
两个水下房间可供选择：特大号双人床或双床单人间
高级床上用品和玻璃墙连接浴室
从地板到天花板的大堡礁景观
所有餐点包括早餐、早茶和下午茶、午餐和晚餐
所有饮料，包括啤酒和葡萄酒（部分需额外付费）
星空下的美妙用餐体验
礁石上的活动","入住澳大利亚第一家水下住宿
令人惊叹的水下景观的亲密体验
礁石上的专属早晨
全包餐食和饮料
可选择飞往心形礁的观光飞行
浮桥上的星光晚餐
私人珊瑚礁活动",,,https://www.cruisewhitsundays.com/experiences/reefsuites/,https://www.cruisewhitsundays.com/experiences/reefsuites/,,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,"static/tour_images/cruisewhitsundays/reefsuites/image_2.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_16.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsuites/,"Single: A$2,050 | Double: A$1,140 | Adult: A$13.00 | Child (4-14): A$7.00",,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven","adventure,family-friendly,luxury,private,small-group,sunset",family,adventurous,,,,,,0
reefsleep,礁石睡眠,cruisewhitsundays,,通过 Reefsleep 体验前所未有的大堡礁，这是一项独特的两天一夜冒险活动。在珊瑚礁世界浮桥的双人礁床上睡在星空下，周围环绕着圣灵群岛的美景和哈迪礁充满活力的海洋生物。这种亲密的体验非常适合想要与大自然接触并享受独特的天黑后珊瑚礁邂逅的情侣和冒险家。享受全包餐点和饮料以及一系列活动，对于那些寻求放松和冒险的人来说，这将是一次难忘的旅程。,2 Days 1 Night,Port of Airlie,,FROM A$695,,"在星空下的双人礁床住宿过夜
全包餐食：1份早餐、2份上午茶和2份下午茶、2份午餐和星空下的晚餐
全包饮料：软饮料、啤酒、葡萄酒（高级饮料需额外付费）
在礁石世界浮桥上进行一系列湿式和干式活动，并提供所有浮潜装备
大堡礁环境管理费 (EMC)","在大堡礁的星空下入眠
天黑后独家进入珊瑚礁世界浮桥
穿越圣灵群岛的风景巡游
全包餐食和饮料
可选浪漫和水下晚餐套餐
有导游带领的浮潜探险和水肺潜水机会
通过一系列活动体验珊瑚礁",,,https://www.cruisewhitsundays.com/experiences/reefsleep/,https://www.cruisewhitsundays.com/experiences/reefsleep/,,static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,"static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_18.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_24.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsleep/,Double Reefbed (2 people sharing): A$695 | Single Reefbed (1 person): A$960 | Adult (Day Visit): A$13.00 | Child (4-14) Day Visit: A$7.00,,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,luxury,private,relaxation,small-group,sunset",family,adventurous,,,,,,0
cruising_nomads,风景优美的圣灵群岛巡游,cruisewhitsundays,,坐下来，放松身心，享受悠闲的巡游之旅，穿越迷人的圣灵群岛。当您滑过白日梦岛、汉密尔顿岛码头和汉密尔顿岛机场时，这段风景优美的旅程将带来令人惊叹的景色。对于那些寻求轻松度假的人来说，这艘游轮是放松身心并沉浸在圣灵群岛自然美景中的完美背景。,,Port of Airlie,,FROM A$69,,"返程巡游圣灵群岛，欣赏风景
无限量茶和咖啡","穿越圣灵群岛的风景巡游
路过白日梦岛
查看汉密尔顿岛码头
查看 汉密尔顿岛机场
放松身心并欣赏壮丽的景色",,,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,,static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,"static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,static/tour_images/cruisewhitsundays/cruising_nomads/image_3.jpg",,True,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,Adult: FROM A$69,,,unknown,water,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,relaxation",general,relaxed,,,,,,0
great_barrier_reef_full_day_adventure,大堡礁全日探险,cruisewhitsundays,,踏上前往大堡礁的激动人心的旅程，那里碧绿的海水和充满活力的海洋生物等待着您。这个全日冒险非常适合自然爱好者和寻求刺激的人，提供了探索世界上最令人惊叹的自然奇观之一的独特机会。浮潜、游泳或潜入色彩缤纷的海底世界，或在舒适的风景巡游中欣赏美景。非常适合寻求难忘体验的家庭、情侣和独行旅客。,Full Day,Port of Airlie,,FROM A$319,,"穿越圣灵群岛至外礁的风景优美的往返巡游
哈迪礁 4 小时
提供所有浮潜装备，包括潜水服和毒刺服
早茶、午餐、下午茶","探索被列入世界遗产名录的奇观大堡礁
在生机勃勃的珊瑚和海洋生物中浮潜、游泳或潜水
穿越圣灵群岛的风景巡游
在礁石世界浮桥上享用美味的自助午餐
可选活动，如带导游的浮潜之旅和水肺潜水",,8.0,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg,"static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_10.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_11.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,"Adult (Standard): A$319 | Adult (High Season): A$329 | Senior (Standard): A$289 | Senior (High Season): A$299 | Child (4-14, Standard): A$155 | Child (4-14, High Season): A$165 | Family (2 adults & 2 children, Standard): A$859 | Family (2 adults & 2 children, High Season): A$899 | Introductory Scuba Dive (Standard): A$169 | Introductory Scuba Dive (High Season): A$676 | Second Intro Dive (Standard): A$79 | Second Intro Dive (High Season): A$316 | Certified Scuba Dive (Standard): A$129 | Certified Scuba Dive (High Season): A$516 | Second Cert Dive (Standard): A$79 | Second Cert Dive (High Season): A$316 | Snorkel Safari (Adult, Standard): A$79 | Snorkel Safari (Adult, High Season): A$256 | Snorkel Safari (Child, Standard): A$49",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,sunset",family,adventurous,,,,,,0
camira_sailing_adventure,卡米拉航海冒险,cruisewhitsundays,,登上该地区最大的双体帆船，以时尚的方式体验圣灵群岛。卡米拉航海冒险 (Camira Sailing Adventure) 提供全天全包航海体验，非常适合那些寻求放松和冒险的游客。航行穿过令人惊叹的圣灵群岛，参观希尔湾标志性的旋转沙滩，并在岸礁享受浮潜的机会。这次旅行非常适合那些身体健康程度适中、热爱大海空气和令人惊叹的岛屿景色的游客。,Full Day,Port of Airlie,,FROM A$249,FROM A$209,"穿越圣灵群岛到怀特黑文海滩和希尔湾的风景优美的往返航行冒险
上午茶和下午茶
岸礁浮潜
烧烤午餐、软饮料和水
导游带领步行前往 Hill Inlet 和观景台（视潮汐而定）
防晒霜、帽子、太阳镜和防护服","乘坐圣灵群岛最大的双体帆船航行
参观标志性的希尔湾和圣灵岛
在岸礁浮潜
在船上享用烧烤午餐
导游带领步行前往 Hill Inlet 观景台
体验海洋空气和迷人的岛屿景观",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,Adult: From A$249 | Senior: From A$217 | Child (4-14): From A$209 | Family (2 adults & 2 children): From A$799 | Adult (EMC): A$13.00 | Child (4-14) (EMC): A$7.00,,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
ultimate_whitsundays_combo,大堡礁探险,cruisewhitsundays,,踏上全日冒险之旅，探索世界自然奇观之一令人惊叹的大堡礁。这次旅行为自然爱好者和探险家提供了难忘的体验，提供了在充满活力的海洋生物和珊瑚礁中浮潜、游泳和潜水的机会。这次旅行非常适合想要沉浸在圣灵群岛美景中的家庭、情侣和独行游客，这次旅行将放松与兴奋融为一体，包括参观礁石世界浮桥并享用美味的自助午餐。,Full Day,Port of Airlie,,FROM A$397,FROM A$185,"早茶、午餐、下午茶
免费茶和咖啡
浮潜装备
进入水下观测站
半潜艇导览游","探索大堡礁
参观珊瑚礁世界浮桥
浮潜和潜水机会
水下观测站
半潜艇导览游
美味的自助午餐
壮观的海洋生物和珊瑚礁",,8.0,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,"static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_4.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,"Adult (Standard): A$397 | Adult (Premium): A$407 | Child (4-14, Standard): A$185 | Child (4-14, Premium): A$195 | Introductory Scuba Dive: A$169 | Introductory Scuba Dive (Premium): A$676 | Second Intro Dive: A$79 | Second Intro Dive (Premium): A$316 | Certified Scuba Dive: A$129 | Certified Scuba Dive (Premium): A$516 | Second Certified Scuba Dive: A$79 | Second Certified Scuba Dive (Premium): A$316 | Guided Snorkel Safari (Adult): A$79 | Guided Snorkel Safari (Adult, Premium): A$256 | Guided Snorkel Safari (Child): A$49",,,full_day,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,,0
whitehaven_beach___hill_inlet_chill___grill,Whitehaven 海滩和 Hill Inlet Chill & Grill,cruisewhitsundays,,尽情享受白天堂海滩的终极体验，这里非常适合那些寻求冒险与放松的游客。这个全日游提供穿越圣灵群岛的风景优美的巡游，让您探索世界著名的白天堂海滩令人惊叹的白色硅砂。这里非常适合大自然爱好者和中等健身水平的人士，您可以享受游泳、徒步旅行和沐浴阳光的乐趣。体验希尔湾的独特美景，并在海滩上享受澳洲风格的烧烤，这对家庭和冒险家来说都是难忘的一天。,Full Day,Port of Airlie,Daily Departure & Return Times,FROM A$269,FROM A$139,"穿越圣灵群岛的风景巡游
白天堂海滩长达 6 小时
导游带领步行前往 Hill Inlet 和 Lookout
步行至怀特黑文海滩观景台
海滩上的澳式烧烤
上午茶和下午茶
全天专职房东
充分利用沙滩服和毒刺防护服
大堡礁环境管理费 (EMC)","探索令人惊叹的白天堂海滩
导游带领步行前往希尔湾
海滩上的澳式烧烤午餐
穿越圣灵群岛的风景巡游
当天专职主持人",,8.0,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_1.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_12.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,"Adult (Standard): A$269 | Adult (Premium): A$279 | Senior (Standard): A$239 | Senior (Premium): A$249 | Child (4-14, Standard): A$139 | Child (4-14, Premium): A$149 | Family (Standard): A$769 | Family (Premium): A$809",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
whitehaven_beach_morning_or_afternoon_cruise,白天堂海滩上午或下午巡游,cruisewhitsundays,,在白天堂海滩上午或下午巡游中体验圣灵群岛的壮丽美景。这次风景优美的旅程将带您穿过圣灵群岛通道，欣赏遥远水道和隐蔽海湾的壮丽景色。该游轮非常适合家庭和海滩爱好者，为您提供前往著名白天堂海滩的轻松度假之旅，该海滩以其原始的白色沙滩和水晶般清澈的海水而闻名。您可以沿着海滩悠闲地漫步，短途徒步欣赏全景，或者只是在阳光下放松身心。非常适合那些寻求宁静的海滩度假和冒险的游客。,Half Day,Port of Airlie,Departs morning and afternoon,FROM A$149,A$61,"穿越圣灵群岛的风景巡游
在白日梦岛和汉密尔顿岛短暂停留
白天堂海滩南端长达 2 小时
早上或下午茶
进入南怀特黑文海滩观景台","巡游圣灵群岛航道
参观著名的白天堂海滩
从南白天堂海滩观景台欣赏全景
在原始的白色沙滩上放松身心
短途徒步旅行并欣赏壮丽景色的机会",,3.5,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_4.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_7.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,"Adult (Standard): A$149 | Adult (High Season): A$159 | Senior (Standard): A$134 | Senior (High Season): A$144 | Child (4-14, Standard): A$61 | Child (4-14, High Season): A$71 | Family (Standard): A$399 | Family (High Season): A$439",,,half_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,adventurous,,,,,,0
