id,name,company_name,summary,description,duration,departure_location,departure_times,price_adult,price_child,includes,highlights,keywords,duration_hours,link_booking,link_more_info,phone,image_url,image_urls,commission_rate,active,price_source_url,price_tiers,raw_text,duration_days,duration_category,tour_type,locations,tags,audience,intensity_level,itinerary,menu,age_requirements,ideal_for
9ebfef1715ea29c7,Falls to Paradise – Waterfall Tour,redcatadventures,,"Experience the ultimate tropical getaway with the Falls to Paradise tour, an all-inclusive day trip that combines nature exploration and relaxation. Swim in the refreshing rockpools of Cedar Creek Falls, surrounded by lush tropical flora and vibrant wildlife. After a morning of adventure, unwind at the award-winning Northerlies Beach Bar & Grill, where you can enjoy a delicious lunch and soak up stunning views of the Coral Sea. This tour is perfect for families and friends looking to connect with nature and enjoy a laid-back afternoon by the beach.",Full Day,,"Departs 10:30 am, Returns 3:30 pm",FROM A$159,A$149,"Swim in the rockpools at Cedar Creek Falls
Fun and informative tour guide
Delicious lunch prepared by a local chef
Alcoholic or non-alcoholic drink included
Courtesy coach available for extended stay at Northerlies","Swim in one of Queensland’s most beautiful waterfalls
Enjoy the views from the beach bar while sipping creative cocktails
Private beach for the kids to explore
Award-winning restaurant and bar
ECO walk to the top of the falls",,8.0,https://redcatadventures.com.au/package/falls-to-paradise/,https://redcatadventures.com.au/package/falls-to-paradise/,,,,,TRUE,https://redcatadventures.com.au/package/falls-to-paradise/,,,,full_day,combo,"Airlie Beach,Great Barrier Reef,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,private,relaxation",family,adventurous,,,Ages 4 - 14,Families and friends looking for a relaxing day in nature with a mix of adventure and leisure.
8f3c63f2077bf7d3,Thundercat Whitsundays - All Inclusive Day Tour,redcatadventures,,"Experience the Whitsundays like never before aboard Thundercat, the fastest catamaran in the region, designed for both stability and speed. This exhilarating day tour is perfect for families, couples, and groups seeking adventure and breathtaking scenery. Discover the world-famous Whitehaven Beach, take in the stunning views from Hill Inlet lookout, and snorkel among the vibrant reefs of the Great Barrier Reef. With a focus on fun, comfort, and eco-friendly practices, Thundercat promises an unforgettable day on the water.",Full Day,,,FROM A$409,A$360,"Exhilarating ride around the Whitsunday Islands
Visit to Whitehaven Beach and Hill Inlet lookout
Two snorkelling opportunities on the Great Barrier Reef
Delicious lunch
Cold drinks and snacks
Banana boat rides
Dedicated and fantastic crew","Fastest catamaran in the Whitsundays
Designed for stability and speed
Perfect for passengers concerned about seasickness
All-inclusive package
Climate Action Leading tour accreditation
Stunning island paradise of Langford
Spacious deck with comfy beanbags
Epic sunset views",,8.0,https://redcatadventures.com.au/package/the-purrfect-2-days/,https://redcatadventures.com.au/package/the-purrfect-2-days/,,,,,TRUE,https://redcatadventures.com.au/package/the-purrfect-2-days/,Standard Adult: A$409 | Child: A$360,,,full_day,combo,"Airlie Beach,Great Barrier Reef,Hill Inlet,Langford,Whitehaven,Whitsunday Island","adventure,relaxation,sunset",family,adventurous,,,All ages welcome,"Families, couples, and groups seeking a thrilling adventure in the Whitsundays"
44fe2ed6394c6bf6,Tongarra Day Sailing Tour,redcatadventures,,"Experience a thrilling day of sailing and adventure aboard Tongarra, where relaxation meets excitement in the stunning Whitsundays. This tour is perfect for those seeking a mix of leisure and adrenaline, offering activities like snorkeling, banana boat rides, and scenic beach walks. With a fantastic crew dedicated to ensuring an unforgettable experience, enjoy the spacious deck with comfy beanbags, savor delicious meals, and witness a breathtaking sunset as you sail back to Airlie Beach. Ideal for families, couples, and groups looking to explore the Whitsundays' hidden gems with a fun and vibrant atmosphere.",Full Day,,"Departs morning, Returns sunset",FROM A$199,,"Snorkelling equipment (mask and snorkel only)
Environmental Management Charge (EMC)
Queensland Parks and Wildlife fees
Lunch and snacks
BYO alcohol (eski and ice provided)","Sail on the spacious deck of Tongarra with bean bags
Snorkel at the best fringing reef in the region
Experience a thrilling banana boat ride
Enjoy a sunset sail back to Airlie Beach
Explore Langford Island and sandbar
Fun and informative ECO tour guides
Spot humpback whales (June to September)",,8.0,https://redcatadventures.com.au/package/day-sailing-tour/,https://redcatadventures.com.au/package/day-sailing-tour/,,,,,TRUE,https://redcatadventures.com.au/package/day-sailing-tour/,,,,full_day,combo,"Airlie Beach,Great Barrier Reef,Hill Inlet,Langford,Whitehaven,Whitsunday Island","adventure,relaxation,sunset",general,adventurous,"**Day 1:**
- Check in at Coral Sea Marina
- Depart for Langford Island
- Free time on Langford Sandbar for snorkeling, beach walk, or banana boat ride
- Depart Langford Sandbar, sail home with sunset and snacks
- Arrive back at Coral Sea Marina","**Menu:**
- Chocolate Brownies
- Fresh Fruit Platter
- Cheddar Cheese Cubes
- Sliced Cabanossi
- Crackers",Recommended 12+ years,"Families, couples, and groups looking for a mix of relaxation and adventure in the Whitsundays."
9ebfef1715ea29c7,Falls to Paradise – Waterfall Tour,redcatadventures,,"Experience the ultimate tropical getaway with the Falls to Paradise tour, a perfect blend of nature, relaxation, and adventure. Ideal for families and friends, this all-inclusive day tour takes you to the stunning Cedar Creek Falls, where you can swim in natural rock pools surrounded by lush flora and fauna. Afterward, unwind at the award-winning Northerlies Beach Bar & Grill, enjoying delicious meals and creative cocktails with breathtaking views of the Coral Sea. This tour offers a unique opportunity to connect with nature and enjoy a laid-back atmosphere in a beautiful setting.",Full Day,,"Departs 10:30 am, Returns 3:30 pm",FROM A$159,A$149,"Round-trip transport from Airlie Beach
Swimming at Cedar Creek Falls
Lunch at Northerlies Beach Bar & Grill
Alcoholic or non-alcoholic drink
Fun and informative tour guide
Courtesy coach available for extended stays at Northerlies","Swim in the rockpools at Cedar Creek Falls
Feast on a delicious lunch prepared by a local chef
Enjoy views from the beach bar while sipping cocktails
Private beach for kids to explore
Guided ECO walk to the top of the falls
Australia’s only Marine-accredited Savannah Guide Enterprise
Proudly Australian-owned business for 14 years
Gold National Tourism Award Winners 2018-2022",,8.0,https://redcatadventures.com.au/package/falls-to-paradise/,https://redcatadventures.com.au/package/falls-to-paradise/,,,,,TRUE,https://redcatadventures.com.au/package/falls-to-paradise/,,,,full_day,combo,"Airlie Beach,Great Barrier Reef,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,private,relaxation",family,adventurous,,,Ages 4 - 14,Families and friends looking for a relaxing and adventurous day in nature
8f3c63f2077bf7d3,Thundercat Whitsundays - All Inclusive Day Tour,redcatadventures,,"Experience the Whitsundays aboard Thundercat, the fastest catamaran in the region, designed for stability and speed. Perfect for families, couples, and groups seeking an exhilarating adventure, this tour offers a thrilling ride through the Whitsunday Islands, visiting the iconic Whitehaven Beach and Hill Inlet lookout. Enjoy snorkeling opportunities on the Great Barrier Reef and unwind on the spacious deck with comfy beanbags. With a dedicated crew ensuring a memorable day, this tour combines adventure, relaxation, and stunning natural beauty.",Full Day,,,FROM A$409,A$360,"Visit to Whitehaven Beach
Hill Inlet lookout
Two snorkeling opportunities
Lunch
Cold drinks and snacks
Banana boat rides
Snorkeling equipment
Sunset viewing","Fastest catamaran in the Whitsundays
Perfect for those prone to seasickness
Award-winning tour
Eco-certified as a Climate Action Leading tour
Ideal for families, couples, and groups
Stunning island views
Adventure activities including banana boat rides
Relaxation on spacious deck with beanbags",,8.0,https://redcatadventures.com.au/package/the-purrfect-2-days/,https://redcatadventures.com.au/package/the-purrfect-2-days/,,,,,TRUE,https://redcatadventures.com.au/package/the-purrfect-2-days/,Standard Adult: A$409 | Child: A$360,,,full_day,combo,"Airlie Beach,Great Barrier Reef,Hill Inlet,Langford,Whitehaven,Whitsunday Island","adventure,relaxation,sunset",family,adventurous,,,All ages welcome,"Families, couples, and groups looking for an adventurous and memorable day exploring the Whitsundays."
44fe2ed6394c6bf6,Tongarra Day Sailing Tour,redcatadventures,,"Get ready for a fun and adventurous day out on the water with the Tongarra Day Sailing Tour. Experience the Whitsundays like never before as you cruise to Langford Island, a stunning paradise with white sands and chill vibes. Enjoy a variety of exciting activities, including snorkeling among vibrant reefs, banana boat rides, and leisurely strolls along the beach. Relax on the spacious deck with comfy beanbags, soak up the sun, and savor delicious snacks and a freshly prepared lunch. As you sail back to Airlie Beach, enjoy cold drinks and snacks while witnessing an epic sunset. Perfect for adventure seekers and those looking to explore the hidden gems of the Whitsundays.",Full Day,,"Departs from Coral Sea Marina, returns at sunset",FROM A$199,,"Snorkelling equipment (mask and snorkel only)
Environmental Management Charge (EMC)
Queensland Parks and Wildlife fees
Lunch and snacks
BYO alcohol (eski and ice provided)","Fun and informative ECO tour guides
Snorkel at the best fringing reef in the region
Enjoy a banana boat ride
Relax on the deck with bean bags
Return sunset sail to Airlie Beach
Spacious deck for whale watching (June to September)",,8.0,https://redcatadventures.com.au/package/day-sailing-tour/,https://redcatadventures.com.au/package/day-sailing-tour/,,,,,TRUE,https://redcatadventures.com.au/package/day-sailing-tour/,,,,full_day,combo,"Airlie Beach,Great Barrier Reef,Hill Inlet,Langford,Whitehaven,Whitsunday Island","adventure,relaxation,sunset",general,adventurous,"**Day 1:**
- Check-in at Coral Sea Marina
- Depart for Langford Island
- Free time on Langford Sandbar: walk to lookout, snorkelling, and banana boat ride
- Depart Langford Sandbar, sail home, and enjoy sunset with snacks and tunes
- Arrive back at Coral Sea Marina","**Menu:**
- Chocolate Brownies
- Fresh Fruit Platter
- Cheddar Cheese Cubes
- Sliced Cabanossi
- Crackers",Recommended 12+ years,"Adventure seekers, families, couples, and groups looking for a fun and memorable day exploring the Whitsundays."
15f295d64f046cd1,Thundercat Whitsundays - All Inclusive Day Tour,redcatadventures,,"Thundercat offers an exhilarating ride around the Whitsunday Islands, perfect for those seeking adventure and breathtaking scenery. This award-winning tour provides a thrilling yet comfortable experience, ideal for families, couples, and groups eager to explore the iconic Whitehaven Beach and the vibrant marine life of the Great Barrier Reef. With its emphasis on stability and speed, Thundercat is designed to accommodate passengers concerned about seasickness, ensuring a smooth and enjoyable journey. The tour combines adventure with comfort, featuring guided bush walks, snorkeling opportunities, and delicious meals prepared by qualified chefs.",Full Day,,,FROM A$230,A$199,"Lycra suit
Snorkelling equipment (mask & snorkel only)
Wet suit (winter months)
On-board toilet
Lunch and snacks catered by qualified chefs
Local bus transfers
BYO Alcohol (eski and ice provided)","Visit Whitehaven Beach (1.5 hours)
Guided bush walk to Hill Inlet Lookout
Snorkel two different locations on the fringing Great Barrier Reef
Travel with accredited Climate Action Leaders
Mantaray Bay – Teeming with an abundance of Marine Life
Stone Haven Bay – Snorkel the stunning Coral Gardens
Experience the iconic swirling sands of Hill Inlet Lookout
Enjoy fresh homemade baking for morning tea, afternoon tea and a buffet lunch",,8.0,https://redcatadventures.com.au/package/thundercat/,https://redcatadventures.com.au/package/thundercat/,,,,,TRUE,https://redcatadventures.com.au/package/thundercat/,A$230 per adult | A$199 per child,,,full_day,combo,"Airlie Beach,Great Barrier Reef,Hill Inlet,Langford,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,adventurous,,"**Menu:**
- Fresh homemade baking for morning tea
- Cold meat and cheese platter
- Buffet lunch
*Note: Thundercat does not cater to dietary requirements. Guests are welcome to bring their own snacks.*",Ages 2+,"Families, couples, and groups looking for an adventurous and scenic day tour with snorkeling and beach exploration."
9ebfef1715ea29c7,Falls to Paradise – Waterfall Tour,redcatadventures,,"Experience the ultimate tropical getaway with the Falls to Paradise day tour. This all-inclusive adventure takes you to the stunning Cedar Creek Falls, where you can swim in natural rockpools surrounded by lush tropical flora and fauna. Perfect for families and friends, this tour combines nature exploration with relaxation at the iconic Northerlies Beach Bar & Grill. Enjoy a delicious lunch and creative cocktails while taking in breathtaking views of the Coral Sea. Ideal for those seeking a balance of adventure and leisure in a picturesque setting.",Full Day,,"Departs 10:30 am, Returns 3:30 pm",FROM A$159,A$149,"Swim in the rockpools at Cedar Creek Falls
Fun and informative tour guide
Delicious lunch prepared by the local chef
One meal plus an Alcoholic or Non-Alcoholic drink included
Courtesy coach available for extended stay at Northerlies
Eco walk to the top of the falls (optional)","Swim in one of Queensland’s most beautiful waterfalls
Enjoy the views from the beach bar while sipping cocktails
Private beach for the kids to explore
Australia’s only Marine-accredited Savannah Guide Enterprise
Proudly Australian-owned business for the past 14 years
2018-2022 Gold National Tourism Award Winners",,8.0,https://redcatadventures.com.au/package/falls-to-paradise/,https://redcatadventures.com.au/package/falls-to-paradise/,,,,,TRUE,https://redcatadventures.com.au/package/falls-to-paradise/,,,,full_day,combo,"Airlie Beach,Great Barrier Reef,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,private,relaxation",family,adventurous,,,Ages 4 - 14,Families and friends seeking a mix of adventure and relaxation in a tropical setting
8f3c63f2077bf7d3,Thundercat Whitsundays - All Inclusive Day Tour,redcatadventures,,"Experience the Whitsundays on Thundercat, the fastest catamaran designed for stability and speed, ensuring a smooth ride perfect for those concerned about seasickness. This exhilarating day tour is ideal for families, couples, and groups seeking adventure and unforgettable moments. Explore the world-famous Whitehaven Beach and Hill Inlet lookout, and enjoy two snorkelling opportunities on the fringing Great Barrier Reef. Relax on the spacious deck with comfy beanbags, soak up the sun, and enjoy a day of adventure and stunning island views.",Full Day,,,FROM A$409,A$360,"Visit to Whitehaven Beach
Hill Inlet lookout
Two snorkelling opportunities on the Great Barrier Reef
Banana boat rides
Delicious lunch
Cold drinks and snacks
Experienced crew","Fastest catamaran in the Whitsundays
Designed for stability and speed
Ideal for seasickness-prone passengers
World-famous Whitehaven Beach visit
Hill Inlet lookout
Snorkelling on the Great Barrier Reef
Chill on spacious deck with beanbags
Epic sunset views on return",,8.0,https://redcatadventures.com.au/package/the-purrfect-2-days/,https://redcatadventures.com.au/package/the-purrfect-2-days/,,,,,TRUE,https://redcatadventures.com.au/package/the-purrfect-2-days/,,,,full_day,combo,"Airlie Beach,Great Barrier Reef,Hill Inlet,Langford,Whitehaven,Whitsunday Island","adventure,relaxation,sunset",family,adventurous,,,All ages welcome,"Families, couples, and groups seeking adventure and unforgettable moments"
44fe2ed6394c6bf6,Tongarra Day Sailing Tour,redcatadventures,,"Get ready for a fun day out on the water with the Tongarra Day Sailing Tour! This adventure offers a laid-back vibe with a spacious deck and comfy beanbags, perfect for soaking up the sun. Enjoy thrilling activities like banana boat rides and snorkeling among vibrant reefs. With a fantastic crew dedicated to making your day memorable, this tour is ideal for adventure seekers and those looking to relax and enjoy the stunning beauty of the Whitsundays.",Full Day,,"Departs in the morning, Returns at sunset",FROM A$199,,"Snorkelling equipment (excluding prescription masks)
Environmental Management Charge (EMC)
Queensland Parks and Wildlife fees
Delicious snacks and freshly prepared lunch
Return sunset sail to Airlie Beach
BYO Alcohol (eski and ice provided)","Explore Whitsunday’s best-kept secret spots
Fun and informative ECO tour guides
Relax on the deck of Tongarra with bean bags
Snorkel at the best fringing reef in the region
Enjoy a fun Banana Boat ride
Catch an epic sunset on the return sail
See magnificent Humpback Whales (June to September)",,8.0,https://redcatadventures.com.au/package/day-sailing-tour/,https://redcatadventures.com.au/package/day-sailing-tour/,,,,,TRUE,https://redcatadventures.com.au/package/day-sailing-tour/,,,,full_day,combo,"Airlie Beach,Great Barrier Reef,Hill Inlet,Langford,Whitehaven,Whitsunday Island","adventure,relaxation,sunset",general,adventurous,"**Day 1:**
- Depart from Coral Sea Marina
- Arrive at Langford Island
- Free time on Langford Sandbar for snorkeling, walking, or banana boat ride
- Depart Langford Sandbar, sail home while enjoying sunset and snacks
- Arrive back at Coral Sea Marina","**Menu:**
- Chocolate Brownies
- Fresh Fruit Platter
- Cheddar Cheese Cubes
- Sliced Cabanossi
- Crackers",Recommended 12+ years,"Families, couples, and groups seeking adventure and relaxation in the Whitsundays"
