id,name,company_name,summary,description,duration,departure_location,departure_times,price_adult,price_child,includes,highlights,keywords,duration_hours,link_booking,link_more_info,phone,image_url,image_urls,commission_rate,active,price_source_url,price_tiers,raw_text,duration_days,duration_category,tour_type,locations,tags,audience,intensity_level,video_urls,important_information,what_to_bring,whats_extra,cancellation_policy
camira_sailing_adventure,Camira Sailing Adventure,cruisewhitsundays,,"Experience the ultimate full-day sailing adventure aboard Camira, the largest sailing catamaran in The Whitsundays. This all-inclusive journey offers a unique blend of relaxation and adventure, perfect for those seeking to explore the iconic swirling sands of Hill Inlet and Whitsunday Island. With limited capacity, you'll enjoy a spacious and comfortable experience as you sail through breathtaking locations. Ideal for adventure seekers, this tour includes bushwalking, snorkeling, and a guided walk to Hill Inlet, ensuring a memorable day amidst stunning natural beauty.",Full Day,Port of Airlie,"Port of Airlie, Departs: 8:15am | Returns: 5:30pm",FROM A$249,FROM A$209,"Scenic return sailing adventure through the Whitsundays to Whitehaven Beach and Hill Inlet
Morning and afternoon tea
Snorkeling the fringing reef
BBQ lunch, soft drinks and water
Guided walk to Hill Inlet and lookout (tidal dependent)
Great Barrier Reef Environmental Management Charge (EMC)","Sail aboard the largest sailing catamaran in The Whitsundays
Visit the iconic Hill Inlet and Whitsunday Island
Limited capacity for a spacious experience
Enjoy snorkeling and bushwalking
Guided walk to Hill Inlet lookout
Morning and afternoon tea included
BBQ lunch with soft drinks and water",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,"Adult: FROM A$249 | Senior: FROM A$217 | Child (4-14): FROM A$209 | Family (2 adults & 2 children): FROM A$799 | Adult (Environmental Management Charge): A$13.00 | Child (Environmental Management Charge, 4-14): A$7.00",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,
camira_sunset_sail,Camira Sunset Sail,cruisewhitsundays,,"Enjoy a relaxing evening aboard the stunning Camira sailing catamaran as you cruise into the sunset over Pioneer Bay. With all-inclusive beverages and delicious food offerings, this sunset sail is the perfect way to unwind and take in the spectacular views of Airlie Beach. Ideal for couples and families looking to experience the beauty of the Whitsundays as the sun dips below the horizon.",Evening,Port of Airlie,"Departs 6pm, Returns 8pm",A$109,A$85,"Sunset sail from Port of Airlie to Pioneer Bay along the coastline and back
All drinks (beer, wine, cider, sparkling wine, soft drinks, and water)","Spectacular views of Airlie Beach at sunset
Relaxing cruise aboard a sailing catamaran
All-inclusive beverages and delicious food offerings
Operates every Friday and Saturday evening from October until February",,,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,"static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,Adult: A$109 | Senior: A$95 | Child (4-14): A$85 | Family (2 adults & 2 children): A$330,,,unknown,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Whitehaven","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,
reefsuites,Reefsuites Underwater Accommodation,cruisewhitsundays,,"Experience the unparalleled beauty of the Great Barrier Reef with a stay in Australia's first underwater accommodation. This intimate adventure offers the perfect blend of luxury and nature, providing an unforgettable view of the reef's vibrant marine life directly from your room. Ideal for couples seeking a unique getaway, you'll enjoy exquisite dining under the stars, exclusive reef activities, and a serene morning surrounded by the ocean's wonders. Tailored for those who cherish privacy and the magic of the sea, this experience promises memories that will last a lifetime.",Overnight,Port of Airlie,"Departs: 8:00am | Returns: 6:10pm (next day)","FROM A$2,050",,"Scenic cruise through the Whitsundays to the accommodation
Two underwater room options: king double or twin single
Premium bedding and glass-walled en suite
Floor-to-ceiling views of the Great Barrier Reef
All meals including breakfast, morning and afternoon teas, lunch, and dinner
All beverages including beer and wine (some at additional cost)
Spectacular dining experience under the stars
Activities at the reef","Stay in Australia's first underwater accommodation
Intimate experience with stunning underwater views
Exclusive morning on the reef
All-inclusive meals and beverages
Optional scenic flight to Heart Reef
Starlit dinner on the pontoon
Private reef activities",,,https://www.cruisewhitsundays.com/experiences/reefsuites/,https://www.cruisewhitsundays.com/experiences/reefsuites/,,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,"static/tour_images/cruisewhitsundays/reefsuites/image_2.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_16.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsuites/,"Single: A$2,050 | Double: A$1,140 | Adult: A$13.00 | Child (4-14): A$7.00",,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven","adventure,family-friendly,luxury,private,small-group,sunset",family,adventurous,,,,,
reefsleep,Reefsleep,cruisewhitsundays,,"Experience the Great Barrier Reef like never before with Reefsleep, a unique two-day, one-night adventure. Sleep under the stars on a double Reefbed on the Reefworld Pontoon, surrounded by the beauty of the Whitsunday Islands and the vibrant marine life of Hardy Reef. This intimate experience is perfect for couples and adventurers looking to connect with nature and enjoy an exclusive after-dark reef encounter. Enjoy all-inclusive meals and drinks, and a range of activities, making this a memorable journey for those seeking both relaxation and adventure.",Overnight,Port of Airlie,"Departs: 8:00am | Returns: 6:10pm (next day)",FROM A$695,,"Overnight accommodation in a double Reefbed under the stars
All-inclusive meals: 1 breakfast, 2 morning and 2 afternoon teas, 2 lunches, and dinner under the stars
All-inclusive drinks: soft drink, beer, and wine (premium beverages available at an additional cost)
A range of wet and dry activities on the Reefworld Pontoon with all snorkel gear provided
Great Barrier Reef Environmental Management Charge (EMC)","Sleep under the stars on the Great Barrier Reef
Exclusive access to the Reefworld Pontoon after dark
Scenic cruise through the Whitsunday Islands
All-inclusive meals and drinks
Optional romance and underwater dinner packages available
Opportunity for guided snorkeling safari and scuba diving
Experience the reef with a range of activities",,,https://www.cruisewhitsundays.com/experiences/reefsleep/,https://www.cruisewhitsundays.com/experiences/reefsleep/,,static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,"static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_18.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_24.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsleep/,Double Reefbed (2 people sharing): A$695 | Single Reefbed (1 person): A$960 | Adult (Day Visit): A$13.00 | Child (4-14) Day Visit: A$7.00,,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,luxury,private,relaxation,small-group,sunset",family,adventurous,,,,,
cruising_nomads,Cruising Nomads Islands Cruise,cruisewhitsundays,,"Sit back, relax, and enjoy a leisurely cruise through the stunning Whitsunday Islands. This scenic journey offers breathtaking views as you glide past Daydream Island, Hamilton Island Marina, and Hamilton Island Airport. Perfect for those seeking a relaxing escape, this cruise provides the perfect backdrop for unwinding and soaking in the natural beauty of the Whitsundays.",,Port of Airlie,"Port of Airlie Departs: 10:30am | Returns: 1:20pm OR Port of Airlie Departs: 12:50pm | Returns: 3:40pm",FROM A$69,,"Return scenic cruise through the Whitsunday Islands
Unlimited tea and coffee","Scenic cruise through the Whitsunday Islands
Pass by Daydream Island
View Hamilton Island Marina
See Hamilton Island Airport
Relax and enjoy the stunning views",,,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,,static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,"static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,static/tour_images/cruisewhitsundays/cruising_nomads/image_3.jpg",,True,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,Adult: FROM A$69,,,unknown,water,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,relaxation",general,relaxed,,,,,
great_barrier_reef_full_day_adventure,Great Barrier Reef Full Day Adventure,cruisewhitsundays,,"Embark on a breathtaking journey to the Great Barrier Reef, where turquoise waters and vibrant marine life await. This full-day adventure is perfect for nature enthusiasts and thrill-seekers alike, offering a unique opportunity to explore one of the world's most stunning natural wonders. Snorkel, swim, or dive into the colorful underwater world, or enjoy the views from the comfort of a scenic cruise. Ideal for families, couples, and solo travelers looking for an unforgettable experience.",Full Day,Port of Airlie,"Departs: 8:00am | Returns: 6:10pm",FROM A$319,,"Scenic return cruise through the Whitsunday Islands to the Outer Reef
4 hours at Hardy Reef
All snorkeling gear provided, including wetsuits and stinger suits
Morning tea, lunch, and afternoon tea","Explore the Great Barrier Reef, a World Heritage-listed wonder
Snorkel, swim, or dive among vibrant coral and marine life
Scenic cruise through the Whitsunday Islands
Enjoy a delicious buffet lunch on the Reefworld pontoon
Optional activities like guided snorkeling safaris and scuba diving",,8.0,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg,"static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_10.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_11.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,"Adult (Standard): A$319 | Adult (High Season): A$329 | Senior (Standard): A$289 | Senior (High Season): A$299 | Child (4-14, Standard): A$155 | Child (4-14, High Season): A$165 | Family (2 adults & 2 children, Standard): A$859 | Family (2 adults & 2 children, High Season): A$899 | Introductory Scuba Dive (Standard): A$169 | Introductory Scuba Dive (High Season): A$676 | Second Intro Dive (Standard): A$79 | Second Intro Dive (High Season): A$316 | Certified Scuba Dive (Standard): A$129 | Certified Scuba Dive (High Season): A$516 | Second Cert Dive (Standard): A$79 | Second Cert Dive (High Season): A$316 | Snorkel Safari (Adult, Standard): A$79 | Snorkel Safari (Adult, High Season): A$256 | Snorkel Safari (Child, Standard): A$49",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,sunset",family,adventurous,,,,,
whitehaven_beach___hill_inlet_chill___grill,Whitehaven Beach & Hill Inlet Chill & Grill,cruisewhitsundays,,"Indulge in the ultimate Whitehaven Beach experience, perfect for those seeking a blend of adventure and relaxation. This full-day excursion offers a scenic cruise through the Whitsunday Islands, allowing you to explore the stunning white silica sands of the world-famous Whitehaven Beach. Ideal for nature lovers and those with a moderate level of fitness, you'll enjoy swimming, hiking, and soaking up the sun. Experience the unique beauty of Hill Inlet and enjoy an Aussie-style BBQ on the beach, making it a memorable day for families and adventure seekers alike.",Full Day,Port of Airlie,"Departs: 7:15am | Returns: 6:00pm",FROM A$269,FROM A$139,"Scenic Cruise through the Whitsunday Islands
Up to 6 hours on Whitehaven Beach
Guided walk to Hill Inlet and Lookout
Walk to Whitehaven Beach Lookout
Aussie-style BBQ on the beach
Morning and afternoon tea
Dedicated host for the duration of the day
Full use of beach and protective stinger suits
Great Barrier Reef Environmental Management Charge (EMC)","Explore the stunning Whitehaven Beach
Guided walk to Hill Inlet
Aussie-style BBQ lunch on the beach
Scenic cruise through the Whitsunday Islands
Dedicated host for the day",,8.0,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_1.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_12.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,"Adult (Standard): A$269 | Adult (Premium): A$279 | Senior (Standard): A$239 | Senior (Premium): A$249 | Child (4-14, Standard): A$139 | Child (4-14, Premium): A$149 | Family (Standard): A$769 | Family (Premium): A$809",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,
whitehaven_beach_morning_or_afternoon_cruise,Whitehaven Beach Morning or Afternoon Cruise,cruisewhitsundays,,"Experience the stunning beauty of the Whitsundays on the Whitehaven Beach Morning or Afternoon Cruise. This scenic journey takes you through the Whitsunday Passage, offering breathtaking views of remote waterways and hidden bays. Ideal for families and beach lovers, this cruise provides a relaxing escape to the famous Whitehaven Beach, renowned for its pristine white sands and crystal-clear waters. Enjoy a leisurely stroll along the beach, take a short hike for panoramic views, or simply relax in the sun. Perfect for those seeking a serene beach getaway with a touch of adventure.",Half Day,Port of Airlie,"Morning: Port of Airlie Departs: 7:15am | Returns: 2:20pm OR Afternoon: Port of Airlie Departs: 11:35am | Returns: 6:00pm",FROM A$149,A$61,"Scenic cruise through the Whitsunday Islands
Brief pick-up stop at Daydream Island and Hamilton Island
Up to 2 hours on the southern end of Whitehaven Beach
Morning or afternoon tea
Access to the Southern Whitehaven Beach Lookout","Cruise through the Whitsunday Passage
Visit the famous Whitehaven Beach
Enjoy panoramic views from the Southern Whitehaven Beach Lookout
Relax on pristine white sands
Opportunity for a short hike with stunning views",,3.5,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_4.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_7.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,"Adult (Standard): A$149 | Adult (High Season): A$159 | Senior (Standard): A$134 | Senior (High Season): A$144 | Child (4-14, Standard): A$61 | Child (4-14, High Season): A$71 | Family (Standard): A$399 | Family (High Season): A$439",,,half_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,adventurous,,,,,
whitehaven_beach___hamilton_island_tour,Whitehaven Beach & Hamilton Island Tour,cruisewhitsundays,,"Embark on a scenic Whitsundays cruise that takes you to two of Australia's most iconic destinations: Hamilton Island and Whitehaven Beach. Experience the sophistication and family-friendly atmosphere of Hamilton Island, with its excellent dining, shopping, and leisure facilities. Then, relax on the pristine sands of Whitehaven Beach, renowned for its natural beauty and crystal-clear waters. This tour is perfect for families, couples, and anyone looking to explore the best of the Whitsundays in a single day.",Full Day,Port of Airlie,"Departs: 7:15am | Returns: 6:00pm",FROM A$206,FROM A$97,"Cruise through the Whitsunday Islands
Morning tea or Afternoon tea
Full use of Hamilton Island’s shuttle bus, pool, and beach areas
Great Barrier Reef Environmental Management Charge (EMC)","Visit Hamilton Island and Whitehaven Beach in one day
Enjoy a scenic cruise through the Whitsunday Islands
Experience the family-friendly atmosphere of Hamilton Island
Relax on the pristine sands of Whitehaven Beach
Hop-on/hop-off shuttle buses available on Hamilton Island",,8.0,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-hamilton-island-tour/,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-hamilton-island-tour/,,static/tour_images/cruisewhitsundays/whitehaven_beach___hamilton_island_tour/image_6.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach___hamilton_island_tour/image_4.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hamilton_island_tour/image_6.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hamilton_island_tour/image_7.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-hamilton-island-tour/,"Adult (Standard): A$206 | Adult (Premium): A$214 | Senior (Standard): A$192 | Senior (Premium): A$210 | Child (4-14, Standard): A$97 | Child (4-14, Premium): A$100 | Family (2 adults & 2 children, Standard): A$523 | Family (2 adults & 2 children, Premium): A$548",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,adventurous,,,,,
hamilton_island_golf,18 Holes Day Cruise,cruisewhitsundays,,"Embark on a unique golfing adventure with the 18 Holes Day Cruise, taking you to Hamilton Island's championship golf course. This experience is perfect for golf enthusiasts who want to enjoy a round of golf amidst breathtaking 360° views of the sparkling Coral Sea. A short ferry trip to Dent Island offers a scenic journey through the Whitsundays, making it a memorable day for those who love both golf and nature.",,Port of Airlie,,A$295,A$7.00,"Scenic return cruise through the Whitsundays to Hamilton Island
Transfers to/from Dent Island
18 holes at Hamilton Island Golf Course
Shared electric golf buggy
Golf clubs and shoes","Breathtaking 360° views across the Coral Sea
Play at one of the world's most scenic golf courses
Scenic ferry trip to Dent Island
Experience the Whitsundays from a unique perspective
Perfect for golf enthusiasts",,,https://www.cruisewhitsundays.com/experiences/hamilton-island-golf/,https://www.cruisewhitsundays.com/experiences/hamilton-island-golf/,,static/tour_images/cruisewhitsundays/hamilton_island_golf/image_11.jpg,"static/tour_images/cruisewhitsundays/hamilton_island_golf/image_6.jpg,static/tour_images/cruisewhitsundays/hamilton_island_golf/image_7.png,static/tour_images/cruisewhitsundays/hamilton_island_golf/image_11.jpg",,True,https://www.cruisewhitsundays.com/experiences/hamilton-island-golf/,18 Holes Day Cruise - Adult: A$295 | Adult: A$13.00 | Child (4-14): A$7.00,,,unknown,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven","adventure,family-friendly",family,relaxed,,,,,
