id,name,company_name,summary,description,duration,departure_location,departure_times,price_adult,price_child,includes,highlights,keywords,duration_hours,link_booking,link_more_info,phone,image_url,image_urls,commission_rate,active,price_source_url,price_tiers,raw_text,duration_days,duration_category,tour_type,locations,tags,audience,intensity_level,video_urls,important_information,what_to_bring,whats_extra,cancellation_policy,booking_connected
camira_sailing_adventure,Camira Navegación Aventura,cruisewhitsundays,,"Experimente la mejor aventura de navegación de un día completo a bordo de Camira, el catamarán de vela más grande de The Whitsundays.Este viaje con todo incluido ofrece una combinación única de relajación y aventura, perfecta para aquellos que buscan explorar las icónicas arenas arremolinadas de Hill Inlet y Whitsunday Island.Con capacidad limitada, disfrutarás de una experiencia espaciosa y cómoda mientras navegas por lugares impresionantes.Ideal para quienes buscan aventuras, este recorrido incluye caminatas, snorkel y una caminata guiada a Hill Inlet, lo que garantiza un día memorable en medio de una impresionante belleza natural.",Full Day,Port of Airlie,,FROM A$249,FROM A$209,"Aventura panorámica en barco de regreso a través de Whitsundays hasta Whitehaven Beach y Hill Inlet
Té de la mañana y de la tarde
Bucear en el arrecife circundante
Almuerzo BBQ, refrescos y agua.
Caminata guiada hasta Hill Inlet y mirador (depende de la marea)
Cargo por gestión ambiental (EMC) de la Gran Barrera de Coral","Navega a bordo del catamarán de vela más grande de The Whitsundays
Visita la emblemática Hill Inlet y Whitsunday Island
Capacidad limitada para una experiencia espaciosa
Disfruta del snorkeling y el senderismo.
Caminata guiada hasta el mirador de Hill Inlet
Té de la mañana y de la tarde incluido.
Almuerzo BBQ con refrescos y agua.",,8.0,,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,"Adult: FROM A$249 | Senior: FROM A$217 | Child (4-14): FROM A$209 | Family (2 adults & 2 children): FROM A$799 | Adult (Environmental Management Charge): A$13.00 | Child (Environmental Management Charge, 4-14): A$7.00",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
camira_sunset_sail,Estilo puesta de sol Sameera,cruisewhitsundays,,"Disfrute de una tarde relajante a bordo del impresionante catamarán de vela Camira mientras navega hacia la puesta de sol sobre Pioneer Bay.Con bebidas todo incluido y deliciosas ofertas de comida, este paseo al atardecer es la manera perfecta de relajarse y disfrutar de las espectaculares vistas de Airlie Beach.Ideal para parejas y familias que buscan experimentar la belleza de las Islas Whitsundays mientras el sol se esconde en el horizonte.",Evening,Port of Airlie,"Departs 6pm, Returns 8pm",A$109,A$85,"Navegación al atardecer desde el puerto de Airlie hasta Pioneer Bay a lo largo de la costa y de regreso
Todas las bebidas (cerveza, vino, sidra, vino espumoso, refrescos y agua)","Espectaculares vistas de Airlie Beach al atardecer
Crucero relajante a bordo de un catamarán de vela.
Bebidas todo incluido y deliciosas ofertas de comida.
Opera todos los viernes y sábados por la noche de octubre a febrero.",,,,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,"static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,Adult: A$109 | Senior: A$95 | Child (4-14): A$85 | Family (2 adults & 2 children): A$330,,,unknown,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Whitehaven","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,,0
reefsuites,Alojamiento submarino en Reefsuites,cruisewhitsundays,,"Experimente la belleza incomparable de la Gran Barrera de Coral con una estadía en el primer alojamiento submarino de Australia.Esta aventura íntima ofrece la combinación perfecta de lujo y naturaleza, brindando una vista inolvidable de la vibrante vida marina del arrecife directamente desde su habitación.Ideal para parejas que buscan una escapada única, disfrutarán de una exquisita cena bajo las estrellas, actividades exclusivas en los arrecifes y una mañana serena rodeada de las maravillas del océano.Diseñada para quienes aprecian la privacidad y la magia del mar, esta experiencia promete recuerdos que durarán toda la vida.",2 Days 1 Night,Port of Airlie,,"FROM A$2,050",,"Crucero panorámico por las Islas Whitsundays hasta el alojamiento.
Dos opciones de habitaciones bajo el agua: king doble o twin single
Ropa de cama de primera calidad y baño con paredes de cristal
Vistas de piso a techo de la Gran Barrera de Coral
Todas las comidas, incluido el desayuno, el té de la mañana y de la tarde, el almuerzo y la cena.
Todas las bebidas, incluidas cerveza y vino (algunas con costo adicional)
Espectacular experiencia gastronómica bajo las estrellas.
actividades en el arrecife","Quédate en el primer alojamiento submarino de Australia
Experiencia íntima con impresionantes vistas submarinas.
Mañana exclusiva en el arrecife.
Comidas y bebidas todo incluido.
Vuelo panorámico opcional a Heart Reef
Cena bajo las estrellas en el pontón
Actividades privadas en el arrecife.",,,,https://www.cruisewhitsundays.com/experiences/reefsuites/,,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,"static/tour_images/cruisewhitsundays/reefsuites/image_2.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_16.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsuites/,"Single: A$2,050 | Double: A$1,140 | Adult: A$13.00 | Child (4-14): A$7.00",,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven","adventure,family-friendly,luxury,private,small-group,sunset",family,adventurous,,,,,,0
reefsleep,sueño de arrecife,cruisewhitsundays,,"Experimente la Gran Barrera de Coral como nunca antes con Reefsleep, una aventura única de dos días y una noche.Duerma bajo las estrellas en un arrecife doble en el pontón Reefworld, rodeado por la belleza de las islas Whitsunday y la vibrante vida marina de Hardy Reef.Esta experiencia íntima es perfecta para parejas y aventureros que buscan conectarse con la naturaleza y disfrutar de un encuentro exclusivo en el arrecife al anochecer.Disfrute de comidas y bebidas con todo incluido y de una variedad de actividades, lo que hace de este un viaje memorable para aquellos que buscan relajación y aventura.",2 Days 1 Night,Port of Airlie,,FROM A$695,,"Alojamiento durante la noche en un arrecife doble bajo las estrellas.
Comidas todo incluido: 1 desayuno, 2 meriendas de la mañana y 2 de la tarde, 2 almuerzos y cena bajo las estrellas
Bebidas todo incluido: refresco, cerveza y vino (bebidas premium disponibles con costo adicional)
Una variedad de actividades húmedas y secas en el pontón Reefworld con todo el equipo de snorkel proporcionado
Cargo por gestión ambiental (EMC) de la Gran Barrera de Coral","Dormir bajo las estrellas en la Gran Barrera de Coral
Acceso exclusivo al pontón Reefworld después del anochecer
Crucero panorámico por las islas Whitsunday.
Comidas y bebidas todo incluido.
Paquetes opcionales de romance y cena submarina disponibles.
Oportunidad de realizar un safari guiado de snorkel y buceo.
Experimente el arrecife con una variedad de actividades.",,,,https://www.cruisewhitsundays.com/experiences/reefsleep/,,static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,"static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_18.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_24.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsleep/,Double Reefbed (2 people sharing): A$695 | Single Reefbed (1 person): A$960 | Adult (Day Visit): A$13.00 | Child (4-14) Day Visit: A$7.00,,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,luxury,private,relaxation,small-group,sunset",family,adventurous,,,,,,0
cruising_nomads,Crucero panorámico por las islas Whitsunday,cruisewhitsundays,,"Siéntese, relájese y disfrute de un tranquilo crucero por las impresionantes islas Whitsunday.Este viaje panorámico ofrece vistas impresionantes mientras pasa por Daydream Island, Hamilton Island Marina y Hamilton Island Airport.Perfecto para aquellos que buscan una escapada relajante, este crucero ofrece el escenario perfecto para relajarse y sumergirse en la belleza natural de las Islas Whitsundays.",,Port of Airlie,,FROM A$69,,"Crucero panorámico de regreso por las islas Whitsunday.
Té y café ilimitados","Crucero panorámico por las islas Whitsunday.
Pasa por la isla Daydream
Ver el puerto deportivo de la isla Hamilton
Ver Aeropuerto de la isla Hamilton
Relájate y disfruta de las impresionantes vistas.",,,,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,,static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,"static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,static/tour_images/cruisewhitsundays/cruising_nomads/image_3.jpg",,True,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,Adult: FROM A$69,,,unknown,water,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,relaxation",general,relaxed,,,,,,0
great_barrier_reef_full_day_adventure,Aventura de día completo en la Gran Barrera de Coral,cruisewhitsundays,,"Embárquese en un viaje impresionante a la Gran Barrera de Coral, donde le esperan aguas turquesas y una vibrante vida marina.Esta aventura de día completo es perfecta tanto para los entusiastas de la naturaleza como para los amantes de las emociones fuertes, ya que ofrece una oportunidad única de explorar una de las maravillas naturales más impresionantes del mundo.Practique snorkel, nade o sumérjase en el colorido mundo submarino, o disfrute de las vistas desde la comodidad de un crucero panorámico.Ideal para familias, parejas y viajeros solitarios que buscan una experiencia inolvidable.",Full Day,Port of Airlie,,FROM A$319,,"Crucero panorámico de regreso por las islas Whitsunday hasta el arrecife exterior
4 horas en Hardy Reef
Se proporciona todo el equipo de snorkel, incluidos trajes de neopreno y trajes Stinger.
Té de la mañana, almuerzo y té de la tarde.","Explora la Gran Barrera de Coral, una maravilla declarada Patrimonio de la Humanidad
Practique snorkel, nade o bucee entre vibrantes corales y vida marina.
Crucero panorámico por las islas Whitsunday.
Disfrute de un delicioso almuerzo buffet en el pontón de Reefworld.
Actividades opcionales como safaris guiados de snorkel y buceo.",,8.0,,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg,"static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_10.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_11.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,"Adult (Standard): A$319 | Adult (High Season): A$329 | Senior (Standard): A$289 | Senior (High Season): A$299 | Child (4-14, Standard): A$155 | Child (4-14, High Season): A$165 | Family (2 adults & 2 children, Standard): A$859 | Family (2 adults & 2 children, High Season): A$899 | Introductory Scuba Dive (Standard): A$169 | Introductory Scuba Dive (High Season): A$676 | Second Intro Dive (Standard): A$79 | Second Intro Dive (High Season): A$316 | Certified Scuba Dive (Standard): A$129 | Certified Scuba Dive (High Season): A$516 | Second Cert Dive (Standard): A$79 | Second Cert Dive (High Season): A$316 | Snorkel Safari (Adult, Standard): A$79 | Snorkel Safari (Adult, High Season): A$256 | Snorkel Safari (Child, Standard): A$49",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,sunset",family,adventurous,,,,,,0
camira_sailing_adventure,Camira Navegación Aventura,cruisewhitsundays,,"Experimente las Whitsundays con estilo a bordo del catamarán de vela más grande de la región.Camira Sailing Adventure ofrece una experiencia de navegación de día completo con todo incluido, perfecta para aquellos que buscan una combinación de relajación y aventura.Navegue por las impresionantes islas Whitsunday, visite las icónicas arenas arremolinadas de Hill Inlet y disfrute de oportunidades para practicar snorkel en el arrecife circundante.Este recorrido es ideal para aquellos con un nivel moderado de condición física que aman el aire del mar y las impresionantes vistas de la isla.",Full Day,Port of Airlie,,FROM A$249,FROM A$209,"Aventura panorámica en barco de regreso a través de Whitsundays hasta Whitehaven Beach y Hill Inlet
Té de la mañana y de la tarde
Bucear en el arrecife circundante
Almuerzo BBQ, refrescos y agua.
Caminata guiada hasta Hill Inlet y mirador (depende de la marea)
Protector solar, sombrero, gafas de sol y ropa protectora.","Navega a bordo del catamarán de vela más grande de The Whitsundays
Visita la emblemática Hill Inlet y Whitsunday Island
Practique snorkel en el arrecife circundante
Disfrute de un almuerzo de barbacoa a bordo.
Caminata guiada hasta el mirador de Hill Inlet
Experimente el aire del mar y las impresionantes vistas de la isla.",,8.0,,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,Adult: From A$249 | Senior: From A$217 | Child (4-14): From A$209 | Family (2 adults & 2 children): From A$799 | Adult (EMC): A$13.00 | Child (4-14) (EMC): A$7.00,,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
ultimate_whitsundays_combo,Aventura en la Gran Barrera de Coral,cruisewhitsundays,,"Embárquese en una aventura de un día completo para explorar la impresionante Gran Barrera de Coral, una de las maravillas naturales del mundo.Este recorrido ofrece una experiencia inolvidable para los amantes de la naturaleza y los buscadores de aventuras, brindando oportunidades para practicar snorkel, natación y buceo entre la vibrante vida marina y arrecifes de coral.Perfecto para familias, parejas y viajeros solitarios que buscan sumergirse en la belleza de las Islas Whitsundays, este recorrido combina relajación con emoción, con una visita al pontón Reefworld y un delicioso almuerzo buffet.",Full Day,Port of Airlie,,FROM A$397,FROM A$185,"Té de la mañana, almuerzo y té de la tarde.
Té y café gratis
Equipo de snorkel
Acceso al observatorio submarino.
Visita guiada en semisubmarino.","Explora la Gran Barrera de Coral
Visita el pontón de Reefworld
Oportunidades para practicar snorkel y buceo.
Observatorio submarino
Visita guiada en semisubmarino.
Delicioso almuerzo buffet
Espectacular vida marina y arrecifes de coral.",,8.0,,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,"static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_4.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,"Adult (Standard): A$397 | Adult (Premium): A$407 | Child (4-14, Standard): A$185 | Child (4-14, Premium): A$195 | Introductory Scuba Dive: A$169 | Introductory Scuba Dive (Premium): A$676 | Second Intro Dive: A$79 | Second Intro Dive (Premium): A$316 | Certified Scuba Dive: A$129 | Certified Scuba Dive (Premium): A$516 | Second Certified Scuba Dive: A$79 | Second Certified Scuba Dive (Premium): A$316 | Guided Snorkel Safari (Adult): A$79 | Guided Snorkel Safari (Adult, Premium): A$256 | Guided Snorkel Safari (Child): A$49",,,full_day,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,,0
whitehaven_beach___hill_inlet_chill___grill,Playa de Whitehaven y Hill Inlet Chill & Grill,cruisewhitsundays,,"Disfrute de la mejor experiencia en Whitehaven Beach, perfecta para quienes buscan una combinación de aventura y relajación.Esta excursión de un día completo ofrece un crucero panorámico por las islas Whitsunday, que le permitirá explorar las impresionantes arenas blancas de sílice de la mundialmente famosa playa de Whitehaven.Ideal para los amantes de la naturaleza y aquellos con un nivel moderado de condición física, disfrutarán nadando, haciendo caminatas y tomando el sol.Experimente la belleza única de Hill Inlet y disfrute de una barbacoa al estilo australiano en la playa, lo que lo convierte en un día memorable tanto para familias como para buscadores de aventuras.",Full Day,Port of Airlie,Daily Departure & Return Times,FROM A$269,FROM A$139,"Crucero panorámico por las islas Whitsunday
Hasta 6 horas en Whitehaven Beach
Caminata guiada a Hill Inlet y Lookout
Camina hasta el mirador de la playa de Whitehaven
Barbacoa al estilo australiano en la playa
Té de la mañana y de la tarde
Anfitrión dedicado durante todo el día.
Uso completo de trajes de playa y protectores de aguijón.
Cargo por gestión ambiental (EMC) de la Gran Barrera de Coral","Explora la impresionante playa de Whitehaven
Caminata guiada a Hill Inlet
Almuerzo de barbacoa al estilo australiano en la playa
Crucero panorámico por las islas Whitsunday.
Anfitrión dedicado para el día",,8.0,,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_1.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_12.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,"Adult (Standard): A$269 | Adult (Premium): A$279 | Senior (Standard): A$239 | Senior (Premium): A$249 | Child (4-14, Standard): A$139 | Child (4-14, Premium): A$149 | Family (Standard): A$769 | Family (Premium): A$809",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
whitehaven_beach_morning_or_afternoon_cruise,Crucero por la mañana o por la tarde en Whitehaven Beach,cruisewhitsundays,,"Experimente la impresionante belleza de las Islas Whitsundays en el crucero por la mañana o por la tarde en Whitehaven Beach.Este viaje panorámico lo lleva a través del Pasaje Whitsunday y ofrece impresionantes vistas de canales remotos y bahías escondidas.Ideal para familias y amantes de la playa, este crucero ofrece una escapada relajante a la famosa playa de Whitehaven, famosa por sus inmaculadas arenas blancas y aguas cristalinas.Disfrute de un tranquilo paseo por la playa, realice una corta caminata para disfrutar de vistas panorámicas o simplemente relájese bajo el sol.Perfecto para quienes buscan una escapada tranquila a la playa con un toque de aventura.",Half Day,Port of Airlie,Departs morning and afternoon,FROM A$149,A$61,"Crucero panorámico por las islas Whitsunday.
Breve parada de recogida en Daydream Island y Hamilton Island
Hasta 2 horas en el extremo sur de Whitehaven Beach
Té de la mañana o de la tarde
Acceso al mirador de la playa sur de Whitehaven","Crucero por el Pasaje Whitsunday
Visita la famosa playa de Whitehaven
Disfrute de las vistas panorámicas desde el mirador de la playa sur de Whitehaven
Relájate en prístinas arenas blancas
Oportunidad para una corta caminata con impresionantes vistas.",,3.5,,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_4.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_7.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,"Adult (Standard): A$149 | Adult (High Season): A$159 | Senior (Standard): A$134 | Senior (High Season): A$144 | Child (4-14, Standard): A$61 | Child (4-14, High Season): A$71 | Family (Standard): A$399 | Family (High Season): A$439",,,half_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,adventurous,,,,,,0
