id,name,company_name,summary,description,duration,departure_location,departure_times,price_adult,price_child,includes,highlights,keywords,duration_hours,link_booking,link_more_info,phone,image_url,image_urls,commission_rate,active,price_source_url,price_tiers,raw_text,duration_days,duration_category,tour_type,locations,tags,audience,intensity_level,video_urls,important_information,what_to_bring,whats_extra,cancellation_policy,booking_connected
camira_sailing_adventure,カミラ セーリング アドベンチャー,cruisewhitsundays,,ウィットサンデー諸島最大の双胴船カミラに乗って、究極の 1 日セーリング アドベンチャーを体験してください。このオールインクルーシブの旅は、リラクゼーションと冒険のユニークなブレンドを提供し、ヒル インレットとウィットサンデー島の象徴的な渦巻く砂浜を探索したい人に最適です。定員が限られているため、息を呑むような場所を航行しながら、広々とした快適な体験をお楽しみいただけます。冒険を求める人に最適なこのツアーには、ブッシュウォーキング、シュノーケリング、ヒル インレットへのガイド付きウォーキングが含まれており、素晴らしい自然の美しさの中で思い出に残る一日をお約束します。,Full Day,Port of Airlie,,FROM A$249,FROM A$209,"ウィットサンデー諸島を通ってホワイトヘブン ビーチとヒル インレットまでの風光明媚な往復セーリング アドベンチャー
モーニングティーとアフタヌーンティー
周辺サンゴ礁でのシュノーケリング
BBQランチ、ソフトドリンク、水
ヒル入り江と展望台へのガイド付きウォーク (潮汐による)
グレートバリアリーフ環境管理料 (EMC)","ウィットサンデー諸島最大の帆走双胴船に乗って出航
象徴的なヒル入り江とウィットサンデー島を訪問
広々とした体験のための限られた容量
シュノーケリングやブッシュウォーキングを楽しむ
ヒル インレット展望台までのガイド付きウォーク
モーニングティーとアフタヌーンティーが含まれています
BBQランチ（ソフトドリンクと水付き）",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure,"Adult: FROM A$249 | Senior: FROM A$217 | Child (4-14): FROM A$209 | Family (2 adults & 2 children): FROM A$799 | Adult (Environmental Management Charge): A$13.00 | Child (Environmental Management Charge, 4-14): A$7.00",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
camira_sunset_sail,サミーラ サンセット スタイル,cruisewhitsundays,,美しいセーリング双胴船カミラ号に乗って、パイオニア湾に沈む夕日を眺めながら、リラックスした夜をお楽しみください。オールインクルーシブのドリンクとおいしいお料理をご用意したこのサンセット セイルは、アーリー ビーチの素晴らしい景色を眺めながらリラックスするのに最適です。太陽が地平線に沈むウィットサンデーの美しさを体験したいカップルや家族に最適です。,Evening,Port of Airlie,"Departs 6pm, Returns 8pm",A$109,A$85,"エアリー港からパイオニア湾まで海岸線に沿って往復するサンセットセーリング
すべてのドリンク（ビール、ワイン、サイダー、スパークリングワイン、ソフトドリンク、水）","夕暮れ時のアーリービーチの素晴らしい景色
カタマラン船でのリラックスしたクルーズ
オールインクルーシブのドリンクとおいしいお食事の提供
10月から2月まで毎週金曜日と土曜日の夜に運行",,,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,"static/tour_images/cruisewhitsundays/camira_sunset_sail/image_3.jpg,static/tour_images/cruisewhitsundays/camira_sunset_sail/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sunset-sail/,Adult: A$109 | Senior: A$95 | Child (4-14): A$85 | Family (2 adults & 2 children): A$330,,,unknown,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Whitehaven","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,,0
reefsuites,リーフスイーツ アンダーウォーター アコモデーション,cruisewhitsundays,,オーストラリア初の水中宿泊施設に滞在して、グレート バリア リーフの比類のない美しさを体験してください。この親密な冒険では、贅沢と自然が完璧に融合しており、客室から直接サンゴ礁の活気に満ちた海洋生物の忘れられない景色を眺めることができます。ユニークな休暇を求めるカップルに最適で、星空の下での極上の食事、特別なサンゴ礁のアクティビティ、海の驚異に囲まれた穏やかな朝をお楽しみいただけます。プライバシーと海の魔法を大切にする人のために作られたこの体験は、一生続く思い出をお約束します。,2 Days 1 Night,Port of Airlie,,"FROM A$2,050",,"ウィットサンデー諸島を通って宿泊施設までの風光明媚なクルーズ
2 つの水中部屋オプション: キング ダブルまたはツイン シングル
高級寝具とガラス張りの専用バスルーム
床から天井まで広がるグレート バリア リーフの眺め
朝食、モーニングティー、アフタヌーンティー、ランチ、ディナーを含むすべての食事
ビールやワインを含むすべての飲み物（一部追加料金）
星空の下での素晴らしいダイニング体験
サンゴ礁でのアクティビティ","オーストラリア初の水中宿泊施設に泊まる
素晴らしい水中の景色を眺めながらの親密な体験
サンゴ礁で過ごす特別な朝
食事と飲み物のオールインクルーシブ
ハート リーフへの遊覧飛行のオプション
ポンツーンでの星空ディナー
プライベートサンゴ礁アクティビティ",,,https://www.cruisewhitsundays.com/experiences/reefsuites/,https://www.cruisewhitsundays.com/experiences/reefsuites/,,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,"static/tour_images/cruisewhitsundays/reefsuites/image_2.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_11.jpg,static/tour_images/cruisewhitsundays/reefsuites/image_16.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsuites/,"Single: A$2,050 | Double: A$1,140 | Adult: A$13.00 | Child (4-14): A$7.00",,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven","adventure,family-friendly,luxury,private,small-group,sunset",family,adventurous,,,,,,0
reefsleep,リーフスリープ,cruisewhitsundays,,1 泊 2 日のユニークなアドベンチャー、リーフスリープで、これまでにないグレート バリア リーフを体験してください。ウィットサンデー諸島の美しさとハーディ リーフの活気に満ちた海洋生物に囲まれた、リーフワールド ポンツーンのダブル リーフベッドで星空の下でお休みください。この親密な体験は、自然とつながり、日没後のサンゴ礁との特別な出会いを楽しみたいカップルや冒険家に最適です。オールインクルーシブの食事とドリンク、さまざまなアクティビティをお楽しみいただけ、リラクゼーションと冒険の両方を求める方にとって思い出に残る旅になります。,2 Days 1 Night,Port of Airlie,,FROM A$695,,"星空の下、ダブルリーフベッドで一晩宿泊
オールインクルーシブの食事: 朝食 1 回、モーニング ティー 2 回とアフタヌーン ティー 2 回、ランチ 2 回、星空の下でのディナー
オールインクルーシブドリンク: ソフトドリンク、ビール、ワイン (プレミアムドリンクは追加料金でご利用いただけます)
すべてのシュノーケル用具が提供されたリーフワールド ポンツーンでのウェットおよびドライのさまざまなアクティビティ
グレートバリアリーフ環境管理料 (EMC)","グレートバリアリーフの星空の下で眠りましょう
日没後のリーフワールド ポンツーンへの独占アクセス
ウィットサンデー諸島を巡る風光明媚なクルーズ
食事と飲み物のオールインクルーシブ
オプションでロマンスと水中ディナーのパッケージも利用可能
ガイド付きシュノーケリング サファリとスキューバ ダイビングのチャンス
さまざまなアクティビティでサンゴ礁を体験",,,https://www.cruisewhitsundays.com/experiences/reefsleep/,https://www.cruisewhitsundays.com/experiences/reefsleep/,,static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,"static/tour_images/cruisewhitsundays/reefsleep/image_14.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_18.jpg,static/tour_images/cruisewhitsundays/reefsleep/image_24.jpg",,True,https://www.cruisewhitsundays.com/experiences/reefsleep/,Double Reefbed (2 people sharing): A$695 | Single Reefbed (1 person): A$960 | Adult (Day Visit): A$13.00 | Child (4-14) Day Visit: A$7.00,,2.0,multi_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,luxury,private,relaxation,small-group,sunset",family,adventurous,,,,,,0
cruising_nomads,風光明媚なウィットサンデー諸島クルーズ,cruisewhitsundays,,座ってリラックスして、美しいウィットサンデー諸島を巡るゆっくりとしたクルーズをお楽しみください。この風光明媚な旅では、デイドリーム島、ハミルトン アイランド マリーナ、ハミルトン アイランド空港を通過しながら、息を呑むような景色を眺めることができます。リラックスした休暇を求める方に最適なこのクルーズは、ウィットサンデー諸島の自然の美しさを満喫し、くつろぐのに最適な背景を提供します。,,Port of Airlie,,FROM A$69,,"ウィットサンデー諸島を巡る往復の風光明媚なクルーズ
無制限の紅茶とコーヒー","ウィットサンデー諸島を巡る風光明媚なクルーズ
白昼夢島を通過
ハミルトン アイランド マリーナの眺め
ハミルトン島空港を見る
素晴らしい景色を眺めながらリラックスしてください",,,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,,static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,"static/tour_images/cruisewhitsundays/cruising_nomads/image_2.jpg,static/tour_images/cruisewhitsundays/cruising_nomads/image_3.jpg",,True,https://www.cruisewhitsundays.com/experiences/crusing-nomads/,Adult: FROM A$69,,,unknown,water,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,relaxation",general,relaxed,,,,,,0
great_barrier_reef_full_day_adventure,グレート バリア リーフの 1 日アドベンチャー,cruisewhitsundays,,ターコイズブルーの海と生き生きとした海洋生物が待つグレート バリア リーフへの息を呑むような旅に出かけましょう。この 1 日の冒険は、自然愛好家にもスリルを求める人にも同様に最適で、世界で最も美しい自然の驚異の 1 つを探索するユニークな機会を提供します。シュノーケリング、水泳、色鮮やかな水中世界へのダイビング、​​または快適な風光明媚なクルーズからの眺めをお楽しみください。忘れられない体験を求める家族、カップル、一人旅に最適です。,Full Day,Port of Airlie,,FROM A$319,,"ウィットサンデー諸島を通ってアウター リーフまでの風光明媚な往復クルーズ
ハーディリーフで4時間
ウェットスーツやスティンガースーツを含むすべてのシュノーケリング用具が提供されます
モーニングティー、ランチ、アフタヌーンティー","世界遺産に登録されている驚異のグレート バリア リーフを探索
鮮やかなサンゴや海洋生物の中でシュノーケリング、水泳、ダイビングを楽しみましょう
ウィットサンデー諸島を巡る風光明媚なクルーズ
リーフワールドのポンツーンでおいしいビュッフェ式ランチをお楽しみください。
ガイド付きシュノーケリング サファリやスキューバ ダイビングなどのオプションのアクティビティ",,8.0,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg,"static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_10.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_11.jpg,static/tour_images/cruisewhitsundays/great_barrier_reef_full_day_adventure/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/great-barrier-reef-full-day-adventure/,"Adult (Standard): A$319 | Adult (High Season): A$329 | Senior (Standard): A$289 | Senior (High Season): A$299 | Child (4-14, Standard): A$155 | Child (4-14, High Season): A$165 | Family (2 adults & 2 children, Standard): A$859 | Family (2 adults & 2 children, High Season): A$899 | Introductory Scuba Dive (Standard): A$169 | Introductory Scuba Dive (High Season): A$676 | Second Intro Dive (Standard): A$79 | Second Intro Dive (High Season): A$316 | Certified Scuba Dive (Standard): A$129 | Certified Scuba Dive (High Season): A$516 | Second Cert Dive (Standard): A$79 | Second Cert Dive (High Season): A$316 | Snorkel Safari (Adult, Standard): A$79 | Snorkel Safari (Adult, High Season): A$256 | Snorkel Safari (Child, Standard): A$49",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,sunset",family,adventurous,,,,,,0
camira_sailing_adventure,カミラ セーリング アドベンチャー,cruisewhitsundays,,この地域最大の帆走双胴船に乗って、スタイリッシュにウィットサンデーを体験してください。カミラ セーリング アドベンチャーは、リラックスと冒険の融合を求める方に最適な、オールインクルーシブの 1 日セーリング体験を提供します。美しいウィットサンデー諸島を航海し、象徴的な渦巻く砂浜のヒル インレットを訪れ、周辺サンゴ礁でシュノーケリングをお楽しみください。このツアーは、海の空気と息を呑むような島の景色が大好きで、中程度の体力がある方に最適です。,Full Day,Port of Airlie,,FROM A$249,FROM A$209,"ウィットサンデー諸島を通ってホワイトヘブン ビーチとヒル インレットまでの風光明媚な往復セーリング アドベンチャー
モーニングティーとアフタヌーンティー
周辺サンゴ礁でのシュノーケリング
BBQランチ、ソフトドリンク、水
ヒル入り江と展望台へのガイド付きウォーク (潮汐による)
日焼け止め、帽子、サングラス、防護服","ウィットサンデー諸島最大の帆走双胴船に乗って出航
象徴的なヒル入り江とウィットサンデー島を訪問
周辺サンゴ礁でシュノーケリング
船上でバーベキューランチをお楽しみください
ヒル インレット展望台までのガイド付きウォーク
海の空気と素晴らしい島の景色を体験",,8.0,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg,"static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_8.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_13.jpg,static/tour_images/cruisewhitsundays/camira_sailing_adventure/image_15.jpg",,True,https://www.cruisewhitsundays.com/experiences/camira-sailing-adventure/,Adult: From A$249 | Senior: From A$217 | Child (4-14): From A$209 | Family (2 adults & 2 children): From A$799 | Adult (EMC): A$13.00 | Child (4-14) (EMC): A$7.00,,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hill Inlet,Hook Island,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
ultimate_whitsundays_combo,グレートバリアリーフアドベンチャー,cruisewhitsundays,,世界の自然の驚異の 1 つである、息を呑むようなグレート バリア リーフを探索する 1 日の冒険に出かけましょう。このツアーは、自然愛好家や冒険を求める人に忘れられない体験を提供し、生き生きとした海洋生物やサンゴ礁の中でシュノーケリング、水泳、ダイビングを楽しむ機会を提供します。ウィットサンデー諸島の美しさに浸りたい家族、カップル、一人旅に最適なこのツアーは、リラックスと興奮を組み合わせたもので、リーフワールドのポンツーン訪問とおいしいビュッフェ式ランチが含まれます。,Full Day,Port of Airlie,,FROM A$397,FROM A$185,"モーニングティー、ランチ、アフタヌーンティー
無料の紅茶とコーヒー
シュノーケリング用具
水中展望台へのアクセス
ガイド付き半潜水艦ツアー","グレートバリアリーフを探索する
リーフワールドのポンツーンを訪問
シュノーケリングとダイビングの機会
水中展望台
ガイド付き半潜水艦ツアー
おいしいビュッフェランチ
素晴らしい海洋生物とサンゴ礁",,8.0,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,"static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_1.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_4.jpg,static/tour_images/cruisewhitsundays/ultimate_whitsundays_combo/image_5.jpg",,True,https://www.cruisewhitsundays.com/experiences/ultimate-whitsundays-combo/,"Adult (Standard): A$397 | Adult (Premium): A$407 | Child (4-14, Standard): A$185 | Child (4-14, Premium): A$195 | Introductory Scuba Dive: A$169 | Introductory Scuba Dive (Premium): A$676 | Second Intro Dive: A$79 | Second Intro Dive (Premium): A$316 | Certified Scuba Dive: A$129 | Certified Scuba Dive (Premium): A$516 | Second Certified Scuba Dive: A$79 | Second Certified Scuba Dive (Premium): A$316 | Guided Snorkel Safari (Adult): A$79 | Guided Snorkel Safari (Adult, Premium): A$256 | Guided Snorkel Safari (Child): A$49",,,full_day,water,"Airlie Beach,Great Barrier Reef,Hill Inlet,Reefworld,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation,sunset",family,relaxed,,,,,,0
whitehaven_beach___hill_inlet_chill___grill,ホワイトヘブン ビーチ & ヒル インレット チル & グリル,cruisewhitsundays,,冒険とリラクゼーションの融合を求める方に最適な、究極のホワイトヘブン ビーチ体験を満喫してください。この 1 日ツアーでは、ウィットサンデー諸島を巡る風光明媚なクルーズを提供し、世界的に有名なホワイトヘブン ビーチの見事な白い珪砂を探索できます。自然愛好家や適度な体力がある人に最適で、水泳、ハイキング、日光浴を楽しむことができます。ヒル インレットの独特の美しさを体験し、ビーチでオーストラリア スタイルのバーベキューを楽しみ、家族にとっても冒険を求める人にとっても思い出に残る一日となるでしょう。,Full Day,Port of Airlie,Daily Departure & Return Times,FROM A$269,FROM A$139,"ウィットサンデー諸島を巡る風光明媚なクルーズ
ホワイトヘブン ビーチで最大 6 時間
ヒル インレットと展望台へのガイド付きウォーク
ホワイトヘブンビーチ展望台まで歩く
ビーチで楽しむオーストラリア風BBQ
モーニングティーとアフタヌーンティー
一日中専属ホストが対応
ビーチスーツと防護スティンガースーツのフル活用
グレートバリアリーフ環境管理料 (EMC)","美しいホワイトヘブン ビーチを散策
ヒル インレットまでのガイド付きウォーク
ビーチでのオーストラリア風バーベキューランチ
ウィットサンデー諸島を巡る風光明媚なクルーズ
その日の専属ホスト",,8.0,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_1.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_12.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach___hill_inlet_chill___grill/image_13.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitehaven-beach-chill-grill/,"Adult (Standard): A$269 | Adult (Premium): A$279 | Senior (Standard): A$239 | Senior (Premium): A$249 | Child (4-14, Standard): A$139 | Child (4-14, Premium): A$149 | Family (Standard): A$769 | Family (Premium): A$809",,,full_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,relaxed,,,,,,0
whitehaven_beach_morning_or_afternoon_cruise,ホワイトヘブン ビーチの午前または午後のクルーズ,cruisewhitsundays,,ホワイトヘブン ビーチの午前または午後のクルーズで、ウィットサンデー諸島の驚くほどの美しさを体験してください。この風光明媚な旅では、ウィットサンデー海峡を通り、人里離れた水路や隠れた湾の息を呑むような景色を眺めることができます。家族連れやビーチ愛好家に最適なこのクルーズは、自然のままの白い砂浜と透き通った海で知られる有名なホワイトヘブン ビーチへリラックスして過ごすことができます。ビーチ沿いをのんびり散歩したり、パノラマの景色を眺めながら短いハイキングを楽しんだり、ただ太陽の下でリラックスしたりしてはいかがでしょうか。冒険を感じながら静かなビーチでの休暇を過ごしたい方に最適です。,Half Day,Port of Airlie,Departs morning and afternoon,FROM A$149,A$61,"ウィットサンデー諸島を巡る風光明媚なクルーズ
デイドリーム島とハミルトン島での短いお迎えの停留所
ホワイトヘブン ビーチの南端で最長 2 時間
モーニングまたはアフタヌーンティー
ホワイトヘブンビーチ南部展望台へのアクセス","ウィットサンデー海峡を巡るクルーズ
有名なホワイトヘブン ビーチを訪問
ホワイトヘブンビーチ南部展望台からパノラマの景色を楽しむ
真っ白な砂浜でリラックス
素晴らしい景色を眺めながら短いハイキングを楽しむチャンス",,3.5,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,"static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_2.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_4.jpg,static/tour_images/cruisewhitsundays/whitehaven_beach_morning_or_afternoon_cruise/image_7.jpg",,True,https://www.cruisewhitsundays.com/experiences/whitsunday-islands-whitehaven-beach-half-day-cruise/,"Adult (Standard): A$149 | Adult (High Season): A$159 | Senior (Standard): A$134 | Senior (High Season): A$144 | Child (4-14, Standard): A$61 | Child (4-14, High Season): A$71 | Family (Standard): A$399 | Family (High Season): A$439",,,half_day,combo,"Airlie Beach,Daydream Island,Great Barrier Reef,Hamilton Island,Hill Inlet,Whitehaven,Whitsunday Island","adventure,family-friendly,relaxation",family,adventurous,,,,,,0
